# dgg/dPsi( Psi ) for A_testtokamak_classic, from A_testtokamak_classic.npz
#
# Psi = 1 - psi_n: freegs4e's normalised flux is 0 on the AXIS and
# 1 on the boundary, and MEQ's is the other way up.
# The values are d/dpsi in the reference and d/dPsi here, so they
# carry a factor of the span 5.031338894101667e-02.
# Amplitude 7.898508840069239e-01, shape ( 1 - psi_n^1.2 )^2.
#
#   Psi            value                    d/dPsi
  -0.300000   +5.441479007215940e-03   +3.719398665662317e-02
  -0.290000   +5.076171817672739e-03   +3.586837324152967e-02
  -0.280000   +4.724093044801438e-03   +3.454830912016547e-02
  -0.270000   +4.385187020792169e-03   +3.323382936100989e-02
  -0.260000   +4.059397724307449e-03   +3.192496960351100e-02
  -0.250000   +3.746668774699557e-03   +3.062176607275558e-02
  -0.240000   +3.446943426078667e-03   +2.932425559464977e-02
  -0.230000   +3.160164561226567e-03   +2.803247561163304e-02
  -0.220000   +2.886274685350408e-03   +2.674646419894883e-02
  -0.210000   +2.625215919670932e-03   +2.546626008149703e-02
  -0.200000   +2.376929994839096e-03   +2.419190265129396e-02
  -0.190000   +2.141358244175002e-03   +2.292343198556806e-02
  -0.180000   +1.918441596722515e-03   +2.166088886551971e-02
  -0.170000   +1.708120570112873e-03   +2.040431479577637e-02
  -0.160000   +1.510335263230118e-03   +1.915375202457529e-02
  -0.150000   +1.325025348670940e-03   +1.790924356470802e-02
  -0.140000   +1.152130064991083e-03   +1.667083321526268e-02
  -0.130000   +9.915882087302066e-04   +1.543856558420258e-02
  -0.120000   +8.433381262066144e-04   +1.421248611182143e-02
  -0.110000   +7.073177050728434e-04   +1.299264109511776e-02
  -0.100000   +5.834643656227762e-04   +1.177907771313448e-02
  -0.090000   +4.717150518402568e-04   +1.057184405331043e-02
  -0.080000   +3.720062221790012e-04   +9.370989138896292e-03
  -0.070000   +2.842738400627474e-04   +8.176562957487398e-03
  -0.060000   +2.084533640942810e-04   +6.988616490731666e-03
  -0.050000   +1.444797379612440e-04   +5.807201745272886e-03
  -0.040000   +9.228738002607535e-05   +4.632371784994251e-03
  -0.030000   +5.181017258672281e-05   +3.464180764630503e-03
  -0.020000   +2.298145079409129e-05   +2.302683964821847e-03
  -0.010000   +5.733991211422559e-06   +1.147937828687293e-03
  +0.000000   +0.000000000000000e+00   +0.000000000000000e+00
  +0.010000   +5.711100714726576e-06   +1.141070636946977e-03
  +0.020000   +2.279832169220326e-05   +2.275213915690849e-03
  +0.030000   +5.119208301297478e-05   +3.402368344064763e-03
  +0.040000   +9.082218301856420e-05   +4.522471058671844e-03
  +0.050000   +1.416177843628203e-04   +5.635457777253457e-03
  +0.060000   +2.035073995759080e-04   +6.741262748829187e-03
  +0.070000   +2.764188761180191e-04   +7.839818701477869e-03
  +0.080000   +3.602793808985188e-04   +8.931056787619539e-03
  +0.090000   +4.550153842347942e-04   +1.001490652664819e-02
  +0.100000   +5.605526432235172e-04   +1.109129574475443e-02
  +0.110000   +6.768161844953750e-04   +1.216015051176533e-02
  +0.120000   +8.037302863225061e-04   +1.322139507481596e-02
  +0.130000   +9.412184600460062e-04   +1.427495178865329e-02
  +0.140000   +1.089203430788716e-03   +1.532074104235780e-02
  +0.150000   +1.247607117416394e-03   +1.635868118225219e-02
  +0.160000   +1.416350611707859e-03   +1.738868843074805e-02
  +0.170000   +1.595354156692185e-03   +1.841067680086220e-02
  +0.180000   +1.784537124108213e-03   +1.942455800611299e-02
  +0.190000   +1.983817990938638e-03   +2.043024136548352e-02
  +0.200000   +2.193114314967644e-03   +2.142763370311293e-02
  +0.210000   +2.412342709307588e-03   +2.241663924234935e-02
  +0.220000   +2.641418815836392e-03   +2.339715949376730e-02
  +0.230000   +2.880257277483124e-03   +2.436909313671805e-02
  +0.240000   +3.128771709294841e-03   +2.533233589394555e-02
  +0.250000   +3.386874668212792e-03   +2.628678039875840e-02
  +0.260000   +3.654477621480851e-03   +2.723231605420452e-02
  +0.270000   +3.931490913603218e-03   +2.816882888364489e-02
  +0.280000   +4.217823731762109e-03   +2.909620137206791e-02
  +0.290000   +4.513384069599368e-03   +3.001431229742592e-02
  +0.300000   +4.818078689258262e-03   +3.092303655120717e-02
  +0.310000   +5.131813081573662e-03   +3.182224494738287e-02
  +0.320000   +5.454491424289635e-03   +3.271180401878547e-02
  +0.330000   +5.786016538173734e-03   +3.359157579988228e-02
  +0.340000   +6.126289840886286e-03   +3.446141759480576e-02
  +0.350000   +6.475211298451084e-03   +3.532118172938665e-02
  +0.360000   +6.832679374160759e-03   +3.617071528580816e-02
  +0.370000   +7.198590974735454e-03   +3.700985981835521e-02
  +0.380000   +7.572841393537554e-03   +3.783845104857139e-02
  +0.390000   +7.955324250627296e-03   +3.865631853795504e-02
  +0.400000   +8.345931429424492e-03   +3.946328533612095e-02
  +0.410000   +8.744553009719696e-03   +4.025916760212414e-02
  +0.420000   +9.151077196753897e-03   +4.104377419638095e-02
  +0.430000   +9.565390246058517e-03   +4.181690624032709e-02
  +0.440000   +9.987376383717644e-03   +4.257835664061754e-02
  +0.450000   +1.041691772168013e-02   +4.332790957429031e-02
  +0.460000   +1.085389416771170e-02   +4.406533993088194e-02
  +0.470000   +1.129818332953437e-02   +4.479041270698386e-02
  +0.480000   +1.174966041265271e-02   +4.550288234815933e-02
  +0.490000   +1.220819811131253e-02   +4.620249203248526e-02
  +0.500000   +1.267366649197634e-02   +4.688897288922868e-02
  +0.510000   +1.314593286863105e-02   +4.756204314529662e-02
  +0.520000   +1.362486166916455e-02   +4.822140719108915e-02
  +0.530000   +1.411031429195868e-02   +4.886675455621321e-02
  +0.540000   +1.460214895174373e-02   +4.949775878415017e-02
  +0.550000   +1.510022051364316e-02   +5.011407619337414e-02
  +0.560000   +1.560438031420257e-02   +5.071534451054813e-02
  +0.570000   +1.611447596804313e-02   +5.130118135922394e-02
  +0.580000   +1.663035115860072e-02   +5.187118258487407e-02
  +0.590000   +1.715184541120587e-02   +5.242492039400425e-02
  +0.600000   +1.767879384651887e-02   +5.296194128143233e-02
  +0.610000   +1.821102691205437e-02   +5.348176371544355e-02
  +0.620000   +1.874837008920131e-02   +5.398387554528186e-02
  +0.630000   +1.929064357275792e-02   +5.446773108911195e-02
  +0.640000   +1.983766191954596e-02   +5.493274785292675e-02
  +0.650000   +2.038923366212798e-02   +5.537830282155726e-02
  +0.660000   +2.094516088300791e-02   +5.580372825154377e-02
  +0.670000   +2.150523874392530e-02   +5.620830688161221e-02
  +0.680000   +2.206925496392717e-02   +5.659126645916302e-02
  +0.690000   +2.263698923878208e-02   +5.695177345960640e-02
  +0.700000   +2.320821259293894e-02   +5.728892584835464e-02
  +0.710000   +2.378268665356762e-02   +5.760174470120238e-02
  +0.720000   +2.436016283416817e-02   +5.788916445553043e-02
  +0.730000   +2.494038141269395e-02   +5.815002150933709e-02
  +0.740000   +2.552307048596203e-02   +5.838304081354231e-02
  +0.750000   +2.610794477813309e-02   +5.858682000980994e-02
  +0.760000   +2.669470427598167e-02   +5.875981054358907e-02
  +0.770000   +2.728303265719946e-02   +5.890029501929913e-02
  +0.780000   +2.787259546960550e-02   +5.900635984597630e-02
  +0.790000   +2.846303800821208e-02   +5.907586192460876e-02
  +0.800000   +2.905398282267350e-02   +5.910638771941129e-02
  +0.810000   +2.964502676837440e-02   +5.909520248435347e-02
  +0.820000   +3.023573748832127e-02   +5.903918660695302e-02
  +0.830000   +3.082564917715071e-02   +5.893475486477259e-02
  +0.840000   +3.141425742851828e-02   +5.877775267717035e-02
  +0.850000   +3.200101289600780e-02   +5.856332086787436e-02
  +0.860000   +3.258531339461373e-02   +5.828571651842597e-02
  +0.870000   +3.316649391709667e-02   +5.793807130291345e-02
  +0.880000   +3.374381380744670e-02   +5.751205867506681e-02
  +0.890000   +3.431643997098924e-02   +5.699742451916329e-02
  +0.900000   +3.488342441501365e-02   +5.638130676407237e-02
  +0.910000   +3.544367343168441e-02   +5.564721662248494e-02
  +0.920000   +3.599590401301603e-02   +5.477345312776984e-02
  +0.930000   +3.653857990339691e-02   +5.373051726493433e-02
  +0.940000   +3.706981341160594e-02   +5.247664139093278e-02
  +0.950000   +3.758720565531150e-02   +5.094946199554382e-02
  +0.960000   +3.808756593185880e-02   +4.904889064299454e-02
  +0.970000   +3.856636317667955e-02   +4.659659430388439e-02
  +0.980000   +3.901646555839858e-02   +4.321709223183465e-02
  +0.990000   +3.942428839599895e-02   +3.781877984497763e-02
  +1.000000   +3.974007473244621e-02   +0.000000000000000e+00
