# dp/dPsi( Psi ) for A_testtokamak_classic, from A_testtokamak_classic.npz
#
# Psi = 1 - psi_n: freegs4e's normalised flux is 0 on the AXIS and
# 1 on the boundary, and MEQ's is the other way up.
# The values are d/dpsi in the reference and d/dPsi here, so they
# carry a factor of the span 5.031338894101667e-02.
# Amplitude 3.448797599319759e+05, shape ( 1 - psi_n^1.5 )^2.
#
#   Psi            value                    d/dPsi
  -0.300000   +4.035117823215031e+03   +2.862178270837772e+04
  -0.290000   +3.754507075707628e+03   +2.750224918353321e+04
  -0.280000   +3.485035174588031e+03   +2.639401515226179e+04
  -0.270000   +3.226589072940767e+03   +2.529709104433392e+04
  -0.260000   +2.979055618528726e+03   +2.421148749524100e+04
  -0.250000   +2.742321551707520e+03   +2.313721535192140e+04
  -0.240000   +2.516273503281495e+03   +2.207428567869302e+04
  -0.230000   +2.300797992299410e+03   +2.102270976340174e+04
  -0.220000   +2.095781423787455e+03   +1.998249912379499e+04
  -0.210000   +1.901110086417404e+03   +1.895366551413122e+04
  -0.200000   +1.716670150107430e+03   +1.793622093203546e+04
  -0.190000   +1.542347663553098e+03   +1.693017762561268e+04
  -0.180000   +1.378028551685873e+03   +1.593554810083059e+04
  -0.170000   +1.223598613056416e+03   +1.495234512918465e+04
  -0.160000   +1.078943517139750e+03   +1.398058175565860e+04
  -0.150000   +9.439488015592941e+02   +1.302027130699439e+04
  -0.140000   +8.184998692265900e+02   +1.207142740028646e+04
  -0.130000   +7.024819853933878e+02   +1.113406395191606e+04
  -0.120000   +5.957802746126376e+02   +1.020819518684221e+04
  -0.110000   +4.982797176046889e+02   +9.293835648266575e+03
  -0.100000   +4.098651480249395e+02   +8.391000207691550e+03
  -0.090000   +3.304212491287944e+02   +7.499704075390124e+03
  -0.080000   +2.598325503298416e+02   +6.619962811309644e+03
  -0.070000   +1.979834236466874e+02   +5.751792336430522e+03
  -0.060000   +1.447580800338506e+02   +4.895208944604001e+03
  -0.050000   +1.000405655917773e+02   +4.050229314893650e+03
  -0.040000   +6.371475765081399e+01   +3.216870524447094e+03
  -0.030000   +3.566436072369061e+01   +2.395150061925984e+03
  -0.020000   +1.577290232079538e+01   +1.585085841524294e+03
  -0.010000   +3.923728622189290e+00   +7.866962176065568e+02
  +0.000000   +0.000000000000000e+00   +0.000000000000000e+00
  +0.010000   +3.884686384474916e+00   +7.749835300234552e+02
  +0.020000   +1.546056246660623e+01   +1.538234603036779e+03
  +0.030000   +3.461020272984014e+01   +2.289732943978139e+03
  +0.040000   +6.121597630296143e+01   +3.029457753858115e+03
  +0.050000   +9.516004162579127e+01   +3.757387690607143e+03
  +0.060000   +1.363243409188555e+02   +4.473500849013297e+03
  +0.070000   +1.845905944476582e+02   +5.177774739696939e+03
  +0.080000   +2.398402945716548e+02   +5.870186267065297e+03
  +0.090000   +3.019546995674120e+02   +6.550711706185603e+03
  +0.100000   +3.708148272148242e+02   +7.219326678511417e+03
  +0.110000   +4.463014481345693e+02   +7.876006126391786e+03
  +0.120000   +5.282950788642523e+02   +8.520724286287743e+03
  +0.130000   +6.166759746599265e+02   +9.153454660615269e+03
  +0.140000   +7.113241220087996e+02   +9.774169988127402e+03
  +0.150000   +8.121192308380892e+02   +1.038284221274205e+04
  +0.160000   +9.189407264039477e+02   +1.097944245071435e+04
  +0.170000   +1.031667740843403e+03   +1.156394095604515e+04
  +0.180000   +1.150179104371063e+03   +1.213630708400802e+04
  +0.190000   +1.274353336101172e+03   +1.269650925266851e+04
  +0.200000   +1.404068634474249e+03   +1.324451490225867e+04
  +0.210000   +1.539202867266137e+03   +1.378029045225904e+04
  +0.220000   +1.679633561155746e+03   +1.430380125602786e+04
  +0.230000   +1.825237890826116e+03   +1.481501155280408e+04
  +0.240000   +1.975892667571587e+03   +1.531388441689586e+04
  +0.250000   +2.131474327381954e+03   +1.580038170385023e+04
  +0.260000   +2.291858918472288e+03   +1.627446399338174e+04
  +0.270000   +2.456922088224851e+03   +1.673609052881835e+04
  +0.280000   +2.626539069506977e+03   +1.718521915280124e+04
  +0.290000   +2.800584666326006e+03   +1.762180623895136e+04
  +0.300000   +2.978933238779459e+03   +1.804580661918902e+04
  +0.310000   +3.161458687255228e+03   +1.845717350636392e+04
  +0.320000   +3.348034435833088e+03   +1.885585841182011e+04
  +0.330000   +3.538533414834826e+03   +1.924181105748481e+04
  +0.340000   +3.732828042466017e+03   +1.961497928202984e+04
  +0.350000   +3.930790205487742e+03   +1.997530894060947e+04
  +0.360000   +4.132291238851293e+03   +2.032274379762931e+04
  +0.370000   +4.337201904223260e+03   +2.065722541194463e+04
  +0.380000   +4.545392367322004e+03   +2.097869301382449e+04
  +0.390000   +4.756732173979574e+03   +2.128708337294816e+04
  +0.400000   +4.971090224835406e+03   +2.158233065662173e+04
  +0.410000   +5.188334748559564e+03   +2.186436627731451e+04
  +0.420000   +5.408333273493858e+03   +2.213311872851507e+04
  +0.430000   +5.630952597588467e+03   +2.238851340779435e+04
  +0.440000   +5.856058756500203e+03   +2.263047242583568e+04
  +0.450000   +6.083516989705126e+03   +2.285891440004676e+04
  +0.460000   +6.313191704463877e+03   +2.307375423120473e+04
  +0.470000   +6.544946437461413e+03   +2.327490286139720e+04
  +0.480000   +6.778643813924660e+03   +2.346226701130912e+04
  +0.490000   +7.014145504000669e+03   +2.363574889465906e+04
  +0.500000   +7.251312176154745e+03   +2.379524590730842e+04
  +0.510000   +7.490003447321459e+03   +2.394065028824210e+04
  +0.520000   +7.730077829511799e+03   +2.407184874924666e+04
  +0.530000   +7.971392672545760e+03   +2.418872206967879e+04
  +0.540000   +8.213804102541149e+03   +2.429114465221586e+04
  +0.550000   +8.457166955745570e+03   +2.437898403489619e+04
  +0.560000   +8.701334707248130e+03   +2.445210035407460e+04
  +0.570000   +8.946159394049984e+03   +2.451034575212023e+04
  +0.580000   +9.191491531906287e+03   +2.455356372274438e+04
  +0.590000   +9.437180025275937e+03   +2.458158838573858e+04
  +0.600000   +9.683072069626538e+03   +2.459424368159077e+04
  +0.610000   +9.929013045239513e+03   +2.459134247488839e+04
  +0.620000   +1.017484640154004e+04   +2.457268555355540e+04
  +0.630000   +1.042041353083627e+04   +2.453806050873861e+04
  +0.640000   +1.066555363018753e+04   +2.448724047747137e+04
  +0.650000   +1.091010354992650e+04   +2.441998272699076e+04
  +0.660000   +1.115389762713017e+04   +2.433602705563081e+04
  +0.670000   +1.139676750206040e+04   +2.423509398038048e+04
  +0.680000   +1.163854191526666e+04   +2.411688267525406e+04
  +0.690000   +1.187904648265013e+04   +2.398106861727550e+04
  +0.700000   +1.211810344531201e+04   +2.382730088773857e+04
  +0.710000   +1.235553139043053e+04   +2.365519906495854e+04
  +0.720000   +1.259114493870391e+04   +2.346434963029551e+04
  +0.730000   +1.282475439302661e+04   +2.325430179088779e+04
  +0.740000   +1.305616534198753e+04   +2.302456259904231e+04
  +0.750000   +1.328517821043369e+04   +2.277459121788632e+04
  +0.760000   +1.351158774764976e+04   +2.250379214333309e+04
  +0.770000   +1.373518244155622e+04   +2.221150714035163e+04
  +0.780000   +1.395574384457929e+04   +2.189700558227504e+04
  +0.790000   +1.417304579329087e+04   +2.155947278869776e+04
