# dgg/dPsi( Psi ) for A_testtokamak_classic, from A_testtokamak_classic_shaped.npz
#
# Psi = 1 - psi_n: freegs4e's normalised flux is 0 on the AXIS and
# 1 on the boundary, and MEQ's is the other way up.
# The values are d/dpsi in the reference and d/dPsi here, so they
# carry a factor of the span 5.030362483714718e-02.
# Amplitude 7.900872176478595e-01, shape ( 1 - psi_n^1.2 )^2.
#
#   Psi            value                    d/dPsi
  -0.300000   +5.442050847901976e-03   +3.719789534299648e-02
  -0.290000   +5.076705268517776e-03   +3.587214262024715e-02
  -0.280000   +4.724589495969228e-03   +3.455193977439798e-02
  -0.270000   +4.385647856596376e-03   +3.323732187761359e-02
  -0.260000   +4.059824323174500e-03   +3.192832457308738e-02
  -0.250000   +3.747062509130881e-03   +3.062498408971301e-02
  -0.240000   +3.447305662612316e-03   +2.932733725726659e-02
  -0.230000   +3.160496660398185e-03   +2.803542152212241e-02
  -0.220000   +2.886578001653562e-03   +2.674927496352520e-02
  -0.210000   +2.625491801516752e-03   +2.546893631044443e-02
  -0.200000   +2.377179784515231e-03   +2.419444495903608e-02
  -0.190000   +2.141583277803869e-03   +2.292584099074028e-02
  -0.180000   +1.918643204218811e-03   +2.166316519104308e-02
  -0.170000   +1.708300075140339e-03   +2.040645906893362e-02
  -0.160000   +1.510493983157536e-03   +1.915576487708899e-02
  -0.150000   +1.325164594527332e-03   +1.791112563282091e-02
  -0.140000   +1.152251141420100e-03   +1.667258513982032e-02
  -0.130000   +9.916924139436777e-04   +1.544018801073834e-02
  -0.120000   +8.434267519372311e-04   +1.421397969064397e-02
  -0.110000   +7.073920365259608e-04   +1.299400648140104e-02
  -0.100000   +5.835256814272978e-04   +1.178031556701050e-02
  -0.090000   +4.717646239985800e-04   +1.057295503996463e-02
  -0.080000   +3.720453160159926e-04   +9.371973928665933e-03
  -0.070000   +2.843037141737213e-04   +8.177422225962905e-03
  -0.060000   +2.084752702919475e-04   +6.989350918861078e-03
  -0.050000   +1.444949212215974e-04   +5.807812019469582e-03
  -0.040000   +9.229707843318794e-05   +4.632858597248050e-03
  -0.030000   +5.181561727641036e-05   +3.464544812622304e-03
  -0.020000   +2.298386589641380e-05   +2.302925952041943e-03
  -0.010000   +5.734593791982682e-06   +1.148058464557543e-03
  +0.000000   +0.000000000000000e+00   +0.000000000000000e+00
  +0.010000   +5.711700889742669e-06   +1.141190551149528e-03
  +0.020000   +2.280071754963460e-05   +2.275453016105406e-03
  +0.030000   +5.119746274812232e-05   +3.402725896238619e-03
  +0.040000   +9.083172744929264e-05   +4.522946321546025e-03
  +0.050000   +1.416326668627541e-04   +5.636050003013622e-03
  +0.060000   +2.035287860061106e-04   +6.741971182751274e-03
  +0.070000   +2.764479247571010e-04   +7.840642581768266e-03
  +0.080000   +3.603172423711192e-04   +8.931995345249492e-03
  +0.090000   +4.550632014383766e-04   +1.001595898518220e-02
