# dp/dPsi( Psi ) for A_testtokamak_classic, from A_testtokamak_classic_shaped.npz
#
# Psi = 1 - psi_n: freegs4e's normalised flux is 0 on the AXIS and
# 1 on the boundary, and MEQ's is the other way up.
# The values are d/dpsi in the reference and d/dPsi here, so they
# carry a factor of the span 5.030362483714718e-02.
# Amplitude 3.449829524345103e+05, shape ( 1 - psi_n^1.5 )^2.
#
#   Psi            value                    d/dPsi
  -0.300000   +4.035541870526654e+03   +2.862479054867956e+04
  -0.290000   +3.754901633859749e+03   +2.750513937295042e+04
  -0.280000   +3.485401414153129e+03   +2.639678887824913e+04
  -0.270000   +3.226928152611309e+03   +2.529974949544222e+04
  -0.260000   +2.979368685106100e+03   +2.421403186113873e+04
  -0.250000   +2.742609740090748e+03   +2.313964682341697e+04
  -0.240000   +2.516537936455722e+03   +2.207660544775756e+04
  -0.230000   +2.301039781324158e+03   +2.102491902319259e+04
  -0.220000   +2.096001667784642e+03   +1.998459906867992e+04
  -0.210000   +1.901309872559114e+03   +1.895565733971322e+04
  -0.200000   +1.716850553603434e+03   +1.793810583517835e+04
  -0.190000   +1.542509747638116e+03   +1.693195680446742e+04
  -0.180000   +1.378173367606568e+03   +1.593722275486237e+04
  -0.170000   +1.223727200058111e+03   +1.495391645920084e+04
  -0.160000   +1.079056902452864e+03   +1.398205096383743e+04
  -0.150000   +9.440480003854864e+02   +1.302163959691459e+04
  -0.140000   +8.185858847246039e+02   +1.207269597695777e+04
  -0.130000   +7.025558086645833e+02   +1.113523402181070e+04
  -0.120000   +5.958428846862057e+02   +1.020926795792726e+04
  -0.110000   +4.983320814225359e+02   +9.294812330037459e+03
  -0.100000   +4.099082204262329e+02   +8.391882011206537e+03
  -0.090000   +3.304559728341569e+02   +7.500492213305908e+03
  -0.080000   +2.598598559251839e+02   +6.620658497918106e+03
  -0.070000   +1.980042295666683e+02   +5.752396787696664e+03
  -0.060000   +1.447732925449502e+02   +4.895723378205133e+03
  -0.050000   +1.000510787749732e+02   +4.050654950259872e+03
  -0.040000   +6.372145338384490e+01   +3.217208582803131e+03
  -0.030000   +3.566810866289541e+01   +2.395401766334427e+03
  -0.020000   +1.577455988251195e+01   +1.585252416930326e+03
  -0.010000   +3.924140963698676e+00   +7.867788908842044e+02
  +0.000000   +0.000000000000000e+00   +0.000000000000000e+00
  +0.010000   +3.885094623066700e+00   +7.750649724241125e+02
  +0.020000   +1.546218720477680e+01   +1.538396254883550e+03
  +0.030000   +3.461383988842268e+01   +2.289973570185790e+03
  +0.040000   +6.122240944105477e+01   +3.029776117155664e+03
  +0.050000   +9.517004191861868e+01   +3.757782551480786e+03
  +0.060000   +1.363386671350425e+02   +4.473970965647228e+03
  +0.070000   +1.846099929259073e+02   +5.178318867911963e+03
  +0.080000   +2.398654991967953e+02   +5.870803160255120e+03
  +0.090000   +3.019864317458001e+02   +6.551400115250697e+03
  +0.100000   +3.708537958490697e+02   +7.220085351790332e+03
  +0.110000   +4.463483495975615e+02   +7.876833809589784e+03
  +0.120000   +5.283505969724590e+02   +8.521619722402616e+03
  +0.130000   +6.167407806459357e+02   +9.154416589860200e+03
  +0.140000   +7.113988744930751e+02   +9.775197147850708e+03
  +0.150000   +8.122045757999073e+02   +1.038393333734366e+04
  +0.160000   +9.190372971514807e+02   +1.098059627155883e+04
  +0.170000   +1.031776157982916e+03   +1.156515620137107e+04
  +0.180000   +1.150299975775185e+03   +1.213758247883352e+04
  +0.190000   +1.274487256876204e+03   +1.269784351869281e+04
  +0.200000   +1.404216186926461e+03   +1.324590675775933e+04
  +0.210000   +1.539364620867023e+03   +1.378173861198465e+04
  +0.220000   +1.679810072506175e+03   +1.430530443108602e+04
  +0.230000   +1.825429703619344e+03   +1.481656845054434e+04
  +0.240000   +1.976100312555067e+03   +1.531549374078725e+04
  +0.250000   +2.131698322317894e+03   +1.580204215335323e+04
  +0.260000   +2.292099768096903e+03   +1.627617426381419e+04
  +0.270000   +2.457180284206238e+03   +1.673784931121498e+04
