# dgg/dPsi( Psi ) for B_testtokamak_peaked_ffdom, from B_testtokamak_peaked_ffdom.npz
#
# Psi = 1 - psi_n: freegs4e's normalised flux is 0 on the AXIS and
# 1 on the boundary, and MEQ's is the other way up.
# The values are d/dpsi in the reference and d/dPsi here, so they
# carry a factor of the span 5.110944159341464e-02.
# Amplitude 9.699041790191519e-01, shape ( 1 - psi_n^1 )^1.
#
#   Psi            value                    d/dPsi
  -0.300000   -1.487137829663644e-02   +4.957126098878813e-02
  -0.290000   -1.437566568674856e-02   +4.957126098878813e-02
  -0.280000   -1.387995307686068e-02   +4.957126098878813e-02
  -0.270000   -1.338424046697280e-02   +4.957126098878813e-02
  -0.260000   -1.288852785708491e-02   +4.957126098878813e-02
  -0.250000   -1.239281524719703e-02   +4.957126098878813e-02
  -0.240000   -1.189710263730915e-02   +4.957126098878813e-02
  -0.230000   -1.140139002742127e-02   +4.957126098878813e-02
  -0.220000   -1.090567741753339e-02   +4.957126098878813e-02
  -0.210000   -1.040996480764551e-02   +4.957126098878813e-02
  -0.200000   -9.914252197757623e-03   +4.957126098878813e-02
  -0.190000   -9.418539587869741e-03   +4.957126098878813e-02
  -0.180000   -8.922826977981860e-03   +4.957126098878813e-02
  -0.170000   -8.427114368093978e-03   +4.957126098878813e-02
  -0.160000   -7.931401758206096e-03   +4.957126098878813e-02
  -0.150000   -7.435689148318215e-03   +4.957126098878813e-02
  -0.140000   -6.939976538430333e-03   +4.957126098878813e-02
  -0.130000   -6.444263928542451e-03   +4.957126098878813e-02
  -0.120000   -5.948551318654581e-03   +4.957126098878813e-02
  -0.110000   -5.452838708766687e-03   +4.957126098878813e-02
  -0.100000   -4.957126098878817e-03   +4.957126098878813e-02
  -0.090000   -4.461413488990935e-03   +4.957126098878813e-02
  -0.080000   -3.965700879103053e-03   +4.957126098878813e-02
  -0.070000   -3.469988269215172e-03   +4.957126098878813e-02
  -0.060000   -2.974275659327290e-03   +4.957126098878813e-02
  -0.050000   -2.478563049439408e-03   +4.957126098878813e-02
  -0.040000   -1.982850439551527e-03   +4.957126098878813e-02
  -0.030000   -1.487137829663645e-03   +4.957126098878813e-02
  -0.020000   -9.914252197757633e-04   +4.957126098878813e-02
  -0.010000   -4.957126098878817e-04   +4.957126098878813e-02
  +0.000000   +0.000000000000000e+00   +4.957126098878813e-02
  +0.010000   +4.957126098878817e-04   +4.957126098878813e-02
  +0.020000   +9.914252197757633e-04   +4.957126098878813e-02
  +0.030000   +1.487137829663645e-03   +4.957126098878813e-02
  +0.040000   +1.982850439551527e-03   +4.957126098878813e-02
  +0.050000   +2.478563049439408e-03   +4.957126098878813e-02
  +0.060000   +2.974275659327290e-03   +4.957126098878813e-02
  +0.070000   +3.469988269215172e-03   +4.957126098878813e-02
  +0.080000   +3.965700879103053e-03   +4.957126098878813e-02
  +0.090000   +4.461413488990935e-03   +4.957126098878813e-02
  +0.100000   +4.957126098878817e-03   +4.957126098878813e-02
  +0.110000   +5.452838708766699e-03   +4.957126098878813e-02
  +0.120000   +5.948551318654575e-03   +4.957126098878813e-02
  +0.130000   +6.444263928542457e-03   +4.957126098878813e-02
  +0.140000   +6.939976538430338e-03   +4.957126098878813e-02
  +0.150000   +7.435689148318220e-03   +4.957126098878813e-02
  +0.160000   +7.931401758206101e-03   +4.957126098878813e-02
  +0.170000   +8.427114368093984e-03   +4.957126098878813e-02
  +0.180000   +8.922826977981860e-03   +4.957126098878813e-02
  +0.190000   +9.418539587869741e-03   +4.957126098878813e-02
  +0.200000   +9.914252197757623e-03   +4.957126098878813e-02
  +0.210000   +1.040996480764551e-02   +4.957126098878813e-02
  +0.220000   +1.090567741753339e-02   +4.957126098878813e-02
  +0.230000   +1.140139002742127e-02   +4.957126098878813e-02
  +0.240000   +1.189710263730915e-02   +4.957126098878813e-02
  +0.250000   +1.239281524719703e-02   +4.957126098878813e-02
  +0.260000   +1.288852785708491e-02   +4.957126098878813e-02
  +0.270000   +1.338424046697280e-02   +4.957126098878813e-02
  +0.280000   +1.387995307686068e-02   +4.957126098878813e-02
  +0.290000   +1.437566568674856e-02   +4.957126098878813e-02
  +0.300000   +1.487137829663644e-02   +4.957126098878813e-02
  +0.310000   +1.536709090652432e-02   +4.957126098878813e-02
  +0.320000   +1.586280351641220e-02   +4.957126098878813e-02
  +0.330000   +1.635851612630009e-02   +4.957126098878813e-02
  +0.340000   +1.685422873618797e-02   +4.957126098878813e-02
  +0.350000   +1.734994134607585e-02   +4.957126098878813e-02
  +0.360000   +1.784565395596373e-02   +4.957126098878813e-02
  +0.370000   +1.834136656585161e-02   +4.957126098878813e-02
  +0.380000   +1.883707917573950e-02   +4.957126098878813e-02
  +0.390000   +1.933279178562737e-02   +4.957126098878813e-02
  +0.400000   +1.982850439551526e-02   +4.957126098878813e-02
  +0.410000   +2.032421700540313e-02   +4.957126098878813e-02
  +0.420000   +2.081992961529101e-02   +4.957126098878813e-02
  +0.430000   +2.131564222517889e-02   +4.957126098878813e-02
  +0.440000   +2.181135483506677e-02   +4.957126098878813e-02
  +0.450000   +2.230706744495466e-02   +4.957126098878813e-02
  +0.460000   +2.280278005484253e-02   +4.957126098878813e-02
  +0.470000   +2.329849266473042e-02   +4.957126098878813e-02
  +0.480000   +2.379420527461830e-02   +4.957126098878813e-02
  +0.490000   +2.428991788450618e-02   +4.957126098878813e-02
  +0.500000   +2.478563049439406e-02   +4.957126098878813e-02
  +0.510000   +2.528134310428195e-02   +4.957126098878813e-02
  +0.520000   +2.577705571416983e-02   +4.957126098878813e-02
  +0.530000   +2.627276832405771e-02   +4.957126098878813e-02
  +0.540000   +2.676848093394559e-02   +4.957126098878813e-02
  +0.550000   +2.726419354383347e-02   +4.957126098878813e-02
  +0.560000   +2.775990615372135e-02   +4.957126098878813e-02
  +0.570000   +2.825561876360923e-02   +4.957126098878813e-02
  +0.580000   +2.875133137349712e-02   +4.957126098878813e-02
  +0.590000   +2.924704398338500e-02   +4.957126098878813e-02
  +0.600000   +2.974275659327288e-02   +4.957126098878813e-02
  +0.610000   +3.023846920316076e-02   +4.957126098878813e-02
  +0.620000   +3.073418181304865e-02   +4.957126098878813e-02
  +0.630000   +3.122989442293653e-02   +4.957126098878813e-02
  +0.640000   +3.172560703282441e-02   +4.957126098878813e-02
  +0.650000   +3.222131964271229e-02   +4.957126098878813e-02
  +0.660000   +3.271703225260016e-02   +4.957126098878813e-02
  +0.670000   +3.321274486248804e-02   +4.957126098878813e-02
  +0.680000   +3.370845747237592e-02   +4.957126098878813e-02
  +0.690000   +3.420417008226381e-02   +4.957126098878813e-02
  +0.700000   +3.469988269215168e-02   +4.957126098878813e-02
  +0.710000   +3.519559530203957e-02   +4.957126098878813e-02
  +0.720000   +3.569130791192745e-02   +4.957126098878813e-02
  +0.730000   +3.618702052181533e-02   +4.957126098878813e-02
  +0.740000   +3.668273313170321e-02   +4.957126098878813e-02
  +0.750000   +3.717844574159110e-02   +4.957126098878813e-02
  +0.760000   +3.767415835147898e-02   +4.957126098878813e-02
  +0.770000   +3.816987096136686e-02   +4.957126098878813e-02
  +0.780000   +3.866558357125474e-02   +4.957126098878813e-02
  +0.790000   +3.916129618114262e-02   +4.957126098878813e-02
  +0.800000   +3.965700879103051e-02   +4.957126098878813e-02
  +0.810000   +4.015272140091838e-02   +4.957126098878813e-02
  +0.820000   +4.064843401080627e-02   +4.957126098878813e-02
  +0.830000   +4.114414662069415e-02   +4.957126098878813e-02
  +0.840000   +4.163985923058203e-02   +4.957126098878813e-02
  +0.850000   +4.213557184046991e-02   +4.957126098878813e-02
  +0.860000   +4.263128445035778e-02   +4.957126098878813e-02
  +0.870000   +4.312699706024566e-02   +4.957126098878813e-02
  +0.880000   +4.362270967013355e-02   +4.957126098878813e-02
  +0.890000   +4.411842228002143e-02   +4.957126098878813e-02
  +0.900000   +4.461413488990931e-02   +4.957126098878813e-02
  +0.910000   +4.510984749979719e-02   +4.957126098878813e-02
  +0.920000   +4.560556010968507e-02   +4.957126098878813e-02
  +0.930000   +4.610127271957296e-02   +4.957126098878813e-02
  +0.940000   +4.659698532946083e-02   +4.957126098878813e-02
  +0.950000   +4.709269793934872e-02   +4.957126098878813e-02
  +0.960000   +4.758841054923660e-02   +4.957126098878813e-02
  +0.970000   +4.808412315912448e-02   +4.957126098878813e-02
  +0.980000   +4.857983576901236e-02   +4.957126098878813e-02
  +0.990000   +4.907554837890025e-02   +4.957126098878813e-02
  +1.000000   +4.957126098878813e-02   +4.957126098878813e-02
