# dp/dPsi( Psi ) for B_testtokamak_peaked_ffdom, from B_testtokamak_peaked_ffdom.npz
#
# Psi = 1 - psi_n: freegs4e's normalised flux is 0 on the AXIS and
# 1 on the boundary, and MEQ's is the other way up.
# The values are d/dpsi in the reference and d/dPsi here, so they
# carry a factor of the span 5.110944159341464e-02.
# Amplitude 2.659828457636165e+05, shape ( 1 - psi_n^2 )^3.
#
#   Psi            value                    d/dPsi
  -0.300000   -4.465828453765783e+03   +5.048327817300450e+04
  -0.290000   -3.981577788219387e+03   +4.640477651079362e+04
  -0.280000   -3.536986476247469e+03   +4.255021324808986e+04
  -0.270000   -3.129850750206159e+03   +3.891248607696351e+04
  -0.260000   -2.758037238292892e+03   +3.548461797395211e+04
  -0.250000   -2.419481716595657e+03   +3.225975622127542e+04
  -0.240000   -2.112187870930112e+03   +2.923117142805065e+04
  -0.230000   -1.834226068464518e+03   +2.639225655150740e+04
  -0.220000   -1.583732139132559e+03   +2.373652591820298e+04
  -0.210000   -1.358906166833970e+03   +2.125761424523728e+04
  -0.200000   -1.158011290423045e+03   +1.894927566146801e+04
  -0.190000   -9.793725144849847e+02   +1.680538272872576e+04
  -0.180000   -8.213755299000885e+02   +1.481992546302912e+04
  -0.170000   -6.824655441958013e+02   +1.298701035579975e+04
  -0.160000   -5.611461216866070e+02   +1.130085939507750e+04
  -0.150000   -4.559780334017670e+02   +9.755809086735486e+03
  -0.140000   -3.655781168009203e+02   +8.346309475695247e+03
  -0.130000   -2.886181452775148e+02   +7.066923167141756e+03
  -0.120000   -2.238237074501062e+02   +5.912324347738650e+03
  -0.110000   -1.699730962414846e+02   +4.877297806843122e+03
  -0.100000   -1.258962077456782e+02   +3.956737957721312e+03
  -0.090000   -9.047344988277376e+01   +3.145647858763104e+03
  -0.080000   -6.263466084161350e+01   +2.439138234697447e+03
  -0.070000   -4.135803731032492e+01   +1.832426497807356e+03
  -0.060000   -2.566907249470542e+01   +1.320835769145034e+03
  -0.050000   -1.463950392445449e+01   +8.997938997469583e+02
  -0.040000   -7.386271047256285e+00   +5.648324918490093e+02
