# dgg/dPsi( Psi ) for B_testtokamak_peaked_ffdom, from B_testtokamak_peaked_ffdom_shaped.npz
#
# Psi = 1 - psi_n: freegs4e's normalised flux is 0 on the AXIS and
# 1 on the boundary, and MEQ's is the other way up.
# The values are d/dpsi in the reference and d/dPsi here, so they
# carry a factor of the span 5.110214053929839e-02.
# Amplitude 9.700208302686062e-01, shape ( 1 - psi_n^1 )^1.
#
#   Psi            value                    d/dPsi
  -0.300000   -1.487104223832997e-02   +4.957014079443322e-02
  -0.290000   -1.437534083038564e-02   +4.957014079443322e-02
  -0.280000   -1.387963942244130e-02   +4.957014079443322e-02
  -0.270000   -1.338393801449697e-02   +4.957014079443322e-02
  -0.260000   -1.288823660655264e-02   +4.957014079443322e-02
  -0.250000   -1.239253519860830e-02   +4.957014079443322e-02
  -0.240000   -1.189683379066397e-02   +4.957014079443322e-02
  -0.230000   -1.140113238271964e-02   +4.957014079443322e-02
  -0.220000   -1.090543097477531e-02   +4.957014079443322e-02
  -0.210000   -1.040972956683097e-02   +4.957014079443322e-02
  -0.200000   -9.914028158886642e-03   +4.957014079443322e-02
  -0.190000   -9.418326750942310e-03   +4.957014079443322e-02
  -0.180000   -8.922625342997977e-03   +4.957014079443322e-02
  -0.170000   -8.426923935053643e-03   +4.957014079443322e-02
  -0.160000   -7.931222527109311e-03   +4.957014079443322e-02
  -0.150000   -7.435521119164979e-03   +4.957014079443322e-02
  -0.140000   -6.939819711220646e-03   +4.957014079443322e-02
  -0.130000   -6.444118303276313e-03   +4.957014079443322e-02
  -0.120000   -5.948416895331991e-03   +4.957014079443322e-02
  -0.110000   -5.452715487387648e-03   +4.957014079443322e-02
  -0.100000   -4.957014079443326e-03   +4.957014079443322e-02
  -0.090000   -4.461312671498994e-03   +4.957014079443322e-02
  -0.080000   -3.965611263554661e-03   +4.957014079443322e-02
  -0.070000   -3.469909855610328e-03   +4.957014079443322e-02
  -0.060000   -2.974208447665996e-03   +4.957014079443322e-02
  -0.050000   -2.478507039721663e-03   +4.957014079443322e-02
  -0.040000   -1.982805631777330e-03   +4.957014079443322e-02
  -0.030000   -1.487104223832998e-03   +4.957014079443322e-02
  -0.020000   -9.914028158886652e-04   +4.957014079443322e-02
  -0.010000   -4.957014079443326e-04   +4.957014079443322e-02
  +0.000000   +0.000000000000000e+00   +4.957014079443322e-02
  +0.010000   +4.957014079443326e-04   +4.957014079443322e-02
  +0.020000   +9.914028158886652e-04   +4.957014079443322e-02
  +0.030000   +1.487104223832998e-03   +4.957014079443322e-02
  +0.040000   +1.982805631777330e-03   +4.957014079443322e-02
  +0.050000   +2.478507039721663e-03   +4.957014079443322e-02
  +0.060000   +2.974208447665996e-03   +4.957014079443322e-02
  +0.070000   +3.469909855610328e-03   +4.957014079443322e-02
  +0.080000   +3.965611263554661e-03   +4.957014079443322e-02
  +0.090000   +4.461312671498994e-03   +4.957014079443322e-02
  +0.100000   +4.957014079443326e-03   +4.957014079443322e-02
  +0.110000   +5.452715487387659e-03   +4.957014079443322e-02
  +0.120000   +5.948416895331986e-03   +4.957014079443322e-02
  +0.130000   +6.444118303276319e-03   +4.957014079443322e-02
  +0.140000   +6.939819711220652e-03   +4.957014079443322e-02
