# dp/dPsi( Psi ) for B_testtokamak_peaked_ffdom, from B_testtokamak_peaked_ffdom_shaped.npz
#
# Psi = 1 - psi_n: freegs4e's normalised flux is 0 on the AXIS and
# 1 on the boundary, and MEQ's is the other way up.
# The values are d/dpsi in the reference and d/dPsi here, so they
# carry a factor of the span 5.110214053929839e-02.
# Amplitude 2.660148357601161e+05, shape ( 1 - psi_n^2 )^3.
#
#   Psi            value                    d/dPsi
  -0.300000   -4.465727536505981e+03   +5.048213736919805e+04
  -0.290000   -3.981487813890047e+03   +4.640372787156898e+04
  -0.280000   -3.536906548640121e+03   +4.254925171296386e+04
  -0.270000   -3.129780022912316e+03   +3.891160674594853e+04
  -0.260000   -2.757974913113275e+03   +3.548381610472491e+04
  -0.250000   -2.419427041977608e+03   +3.225902722636811e+04
  -0.240000   -2.112140140432999e+03   +2.923051087206381e+04
  -0.230000   -1.834184619252888e+03   +2.639166014834532e+04
  -0.220000   -1.583696350496835e+03   +2.373598952833094e+04
  -0.210000   -1.358875458738461e+03   +2.125713387296106e+04
  -0.200000   -1.157985122081054e+03   +1.894884745223544e+04
  -0.190000   -9.793503829607871e+02   +1.680500296645042e+04
  -0.180000   -8.213569687375621e+02   +1.481959056743614e+04
  -0.170000   -6.824501220734913e+02   +1.298671687979374e+04
  -0.160000   -5.611334410989992e+02   +1.130060402213263e+04
  -0.150000   -4.559677293665501e+02   +9.755588628307587e+03
  -0.140000   -3.655698555920152e+02   +8.346120868656157e+03
  -0.130000   -2.886116231836521e+02   +7.066763471235691e+03
  -0.120000   -2.238186495587276e+02   +5.912190743060724e+03
  -0.110000   -1.699692552477495e+02   +4.877187591339996e+03
  -0.100000   -1.258933627863528e+02   +3.956648544713943e+03
  -0.090000   -9.047140539478201e+01   +3.145576774491620e+03
  -0.080000   -6.263324544502893e+01   +2.439083115888145e+03
  -0.070000   -4.135710271558190e+01   +1.832385089261806e+03
  -0.060000   -2.566849243380863e+01   +1.320805921351316e+03
  -0.050000   -1.463917310596555e+01   +8.997735665130044e+02
  -0.040000   -7.386104134836349e+00   +5.648197279580729e+02
  -0.030000   -3.070413224996344e+00   +3.115788789897770e+02
  -0.020000   -8.963735757064104e-01   +1.357872842406741e+02
  -0.010000   -1.103908614335620e-01   +3.328202090982018e+01
  +0.000000   +0.000000000000000e+00   +0.000000000000000e+00
  +0.010000   +1.071282916402949e-01   +3.197698755494225e+01
  +0.020000   +8.441711539970943e-01   +1.253466258965380e+02
  +0.030000   +2.806127454011621e+00   +2.763394548620579e+02
  +0.040000   +6.550781866396474e+00   +4.812819330413735e+02
  +0.050000   +1.259965916734770e+01   +7.365954590141728e+02
  +0.060000   +2.143896874062906e+01   +1.038795392587181e+03
  +0.070000   +3.352053929602848e+01   +1.384490076031375e+03
  +0.080000   +4.926274380018670e+01   +1.770379855319207e+03
  +0.090000   +6.905141461979795e+01   +2.193256101361817e+03
  +0.100000   +9.324074887718324e+01   +2.650000231246257e+03
  +0.110000   +1.221542040182354e+02   +3.137582729472709e+03
  +0.120000   +1.560853835927358e+02   +3.653062169191689e+03
  +0.130000   +1.952989132470459e+02   +4.193584233441298e+03
  +0.140000   +2.400313069291667e+02   +4.756380736384408e+03
  +0.150000   +2.904918233061734e+02   +5.338768644545887e+03
  +0.160000   +3.468633123940221e+02   +5.938149098049831e+03
  +0.170000   +4.093030523997272e+02   +6.552006431856770e+03
  +0.180000   +4.779435767759127e+02   +7.177907197000889e+03
  +0.190000   +5.528934914877353e+02   +7.813499181827261e+03
  +0.200000   +6.342382824921775e+02   +8.456510433229036e+03
  +0.210000   +7.220411134297156e+02   +9.104748277884682e+03
  +0.220000   +8.163436135283589e+02   +9.756098343495200e+03
  +0.230000   +9.171666557200615e+02   +1.040852358002133e+04
  +0.240000   +1.024511124969504e+03   +1.106006328092078e+04
  +0.250000   +1.138358676815253e+03   +1.170883210438546e+04
  +0.260000   +1.258672486123286e+03   +1.235301909457866e+04
  +0.270000   +1.385397986052890e+03   +1.299088670287232e+04
  +0.280000   +1.518463597234939e+03   +1.362076980908417e+04
  +0.290000   +1.657781447162534e+03   +1.424107474271505e+04
  +0.300000   +1.803248079794023e+03   +1.485027830418607e+04
  +0.310000   +1.954745155368385e+03   +1.544692678607581e+04
  +0.320000   +2.112140140432999e+03   +1.602963499435758e+04
  +0.330000   +2.275286988083766e+03   +1.659708526963661e+04
  +0.340000   +2.444026808417625e+03   +1.714802650838730e+04
  +0.350000   +2.618188529197426e+03   +1.768127318419041e+04
  +0.360000   +2.797589546729180e+03   +1.819570436897027e+04
  +0.370000   +2.982036366951681e+03   +1.869026275423205e+04
  +0.380000   +3.171325236738499e+03   +1.916395367229891e+04
  +0.390000   +3.365242765412349e+03   +1.961584411754928e+04
  +0.400000   +3.563566536471829e+03   +2.004506176765403e+04
  +0.410000   +3.766065709530524e+03   +2.045079400481371e+04
  +0.420000   +3.972501612468508e+03   +2.083228693699580e+04
  +0.430000   +4.182628323796171e+03   +2.118884441917183e+04
  +0.440000   +4.396193245230468e+03   +2.151982707455475e+04
  +0.450000   +4.612937664483516e+03   +2.182465131583599e+04
  +0.460000   +4.832597308263546e+03   +2.210278836642277e+04
  +0.470000   +5.054902885488279e+03   +2.235376328167533e+04
  +0.480000   +5.279580620710616e+03   +2.257715397014408e+04
  +0.490000   +5.506352777756734e+03   +2.277259021480687e+04
  +0.500000   +5.734938173576553e+03   +2.293975269430621e+04
  +0.510000   +5.965052682306558e+03   +2.307837200418645e+04
  +0.520000   +6.196409729545011e+03   +2.318822767813101e+04
  +0.530000   +6.428720776839523e+03   +2.326914720919966e+04
  +0.540000   +6.661695796387010e+03   +2.332100507106564e+04
  +0.550000   +6.895043735946011e+03   +2.334372173925295e+04
  +0.560000   +7.128472973961367e+03   +2.333726271237352e+04
  +0.570000   +7.361691764901318e+03   +2.330163753336449e+04
  +0.580000   +7.594408674806914e+03   +2.323689881072538e+04
  +0.590000   +7.826333007053831e+03   +2.314314123975528e+04
  +0.600000   +8.057175218326561e+03   +2.302050062379017e+04
  +0.610000   +8.286647324804961e+03   +2.286915289544003e+04
  +0.620000   +8.514463298563180e+03   +2.268931313782614e+04
  +0.630000   +8.740339454180950e+03   +2.248123460581822e+04
  +0.640000   +8.963994825567277e+03   +2.224520774727172e+04
  +0.650000   +9.185151532996466e+03   +2.198155922426503e+04
  +0.660000   +9.403535140356536e+03   +2.169065093433666e+04
  +0.670000   +9.618875002610028e+03   +2.137287903172244e+04
  +0.680000   +9.830904603467136e+03   +2.102867294859281e+04
  +0.690000   +1.003936188327126e+04   +2.065849441629002e+04
  +0.700000   +1.024398955709690e+04   +2.026283648656530e+04
  +0.710000   +1.044453542305994e+04   +1.984222255281614e+04
  +0.720000   +1.064075266084029e+04   +1.939720537132345e+04
  +0.730000   +1.083240012041690e+04   +1.892836608248881e+04
  +0.740000   +1.101924260101517e+04   +1.843631323207171e+04
  +0.750000   +1.120105112026670e+04   +1.792168179242673e+04
  +0.760000   +1.137760317358145e+04   +1.738513218374075e+04
  +0.770000   +1.154868298373221e+04   +1.682734929527024e+04
  +0.780000   +1.171408174065150e+04   +1.624904150657837e+04
  +0.790000   +1.187359783144086e+04   +1.565093970877234e+04
  +0.800000   +1.202703706059241e+04   +1.503379632574052e+04
  +0.810000   +1.217421286042291e+04   +1.439838433538968e+04
  +0.820000   +1.231494649172008e+04   +1.374549629088226e+04
  +0.830000   +1.244906723460136e+04   +1.307594334187353e+04
  +0.840000   +1.257641256958505e+04   +1.239055425574882e+04
  +0.850000   +1.269682834887377e+04   +1.169017443886075e+04
  +0.860000   +1.281016895785031e+04   +1.097566495776649e+04
  +0.870000   +1.291629746678589e+04   +1.024790156046486e+04
  +0.880000   +1.301508577276074e+04   +9.507773697633664e+03
  +0.890000   +1.310641473179709e+04   +8.756183543866877e+03
  +0.900000   +1.319017428120452e+04   +7.994045018911835e+03
  +0.910000   +1.326626355213765e+04   +7.222282808906479e+03
  +0.920000   +1.333459097236627e+04   +6.441831387616560e+03
