# dgg/dPsi( Psi ) for C_mast_spherical, from C_mast_spherical.npz
#
# Psi = 1 - psi_n: freegs4e's normalised flux is 0 on the AXIS and
# 1 on the boundary, and MEQ's is the other way up.
# The values are d/dpsi in the reference and d/dPsi here, so they
# carry a factor of the span 8.155404366496108e-02.
# Amplitude 5.865920853259133e-01, shape ( 1 - psi_n^1.5 )^2.
#
#   Psi            value                    d/dPsi
  -0.300000   +1.112465727426062e-02   +7.890910183023252e-02
  -0.290000   +1.035102474845579e-02   +7.582259300531378e-02
  -0.280000   +9.608101573387151e-03   +7.276723642894899e-02
  -0.270000   +8.895576083263112e-03   +6.974306085559516e-02
  -0.260000   +8.213136321924568e-03   +6.675009560687356e-02
  -0.250000   +7.560470037094876e-03   +6.378837058735630e-02
  -0.240000   +6.937264674468964e-03   +6.085791630092211e-02
  -0.230000   +6.343207371636116e-03   +5.795876386770726e-02
  -0.220000   +5.777984951829978e-03   +5.509094504167746e-02
  -0.210000   +5.241283917499767e-03   +5.225449222884966e-02
  -0.200000   +4.732790443695799e-03   +4.944943850619272e-02
  -0.190000   +4.252190371262546e-03   +4.667581764123863e-02
  -0.180000   +3.799169199831849e-03   +4.393366411243647e-02
  -0.170000   +3.373412080608750e-03   +4.122301313028478e-02
  -0.160000   +2.974603808941969e-03   +3.854390065927814e-02
  -0.150000   +2.602428816670663e-03   +3.589636344070717e-02
  -0.140000   +2.256571164238769e-03   +3.328043901635271e-02
  -0.130000   +1.936714532567725e-03   +3.069616575311719e-02
  -0.120000   +1.642542214678045e-03   +2.814358286863950e-02
  -0.110000   +1.373737107049559e-03   +2.562273045794077e-02
  -0.100000   +1.129981700709949e-03   +2.313364952115395e-02
  -0.090000   +9.109580720401778e-04   +2.067638199238890e-02
  -0.080000   +7.163478732855142e-04   +1.825097076979358e-02
  -0.070000   +5.458323227596055e-04   +1.585745974686956e-02
  -0.060000   +3.990921947288973e-04   +1.349589384510830e-02
  -0.050000   +2.758078089637991e-04   +1.116631904801610e-02
  -0.040000   +1.756590199423548e-04   +8.868782436600955e-03
  -0.030000   +9.832520569140184e-05   +6.603332226398473e-03
  -0.020000   +4.348525624945249e-05   +4.370017806119728e-03
  -0.010000   +1.081756173461222e-05   +2.168889778008279e-03
  +0.000000   +0.000000000000000e+00   +0.000000000000000e+00
  +0.010000   +1.070992385814334e-05   +2.136598370215216e-03
  +0.020000   +4.262414785480880e-05   +4.240850829123506e-03
  +0.030000   +9.541893457162449e-05   +6.312701479196227e-03
  +0.040000   +1.687699804356902e-04   +8.352092978457487e-03
  +0.050000   +2.623524010131211e-04   +1.035896648768131e-02
  +0.060000   +3.758407157621463e-04   +1.233326161508092e-02
  +0.070000   +5.089088322199413e-04   +1.427491635834270e-02
  +0.080000   +6.612300295958879e-04   +1.618386704384784e-02
  +0.090000   +8.324769417422738e-04   +1.806004826291250e-02
  +0.100000   +1.022321539471751e-03   +1.990339280486630e-02
  +0.110000   +1.230435112188967e-03   +2.171383158677507e-02
  +0.120000   +1.456488248801776e-03   +2.349129357959983e-02
  +0.130000   +1.700150817875319e-03   +2.523570573056894e-02
  +0.140000   +1.961091946989858e-03   +2.694699288152283e-02
  +0.150000   +2.238980001260905e-03   +2.862507768297346e-02
  +0.160000   +2.533482560977313e-03   +3.026988050359994e-02
  +0.170000   +2.844266398310317e-03   +3.188131933488093e-02
  +0.180000   +3.170997453043205e-03   +3.345930969054029e-02
  +0.190000   +3.513340807268099e-03   +3.500376450045709e-02
  +0.200000   +3.870960658992572e-03   +3.651459399866286e-02
  +0.210000   +4.243520294595011e-03   +3.799170560501829e-02
  +0.220000   +4.630682060063305e-03   +3.943500380012789e-02
  +0.230000   +5.032107330946902e-03   +4.084438999301415e-02
  +0.240000   +5.447456480947251e-03   +4.221976238103229e-02
  +0.250000   +5.876388849066284e-03   +4.356101580146224e-02
  +0.260000   +6.318562705226646e-03   +4.486804157416514e-02
  +0.270000   +6.773635214271077e-03   +4.614072733463814e-02
  +0.280000   +7.241262398241356e-03   +4.737895685674142e-02
  +0.290000   +7.721099096829541e-03   +4.858260986430547e-02
  +0.300000   +8.212798925886200e-03   +4.975156183075439e-02
  +0.310000   +8.716014233860970e-03   +5.088568376579963e-02
  +0.320000   +9.230396056041210e-03   +5.198484198817025e-02
  +0.330000   +9.755594066443388e-03   +5.304889788324522e-02
  +0.340000   +1.029125652720021e-02   +5.407770764434409e-02
  +0.350000   +1.083703023527333e-02   +5.507112199630863e-02
  +0.360000   +1.139256046630704e-02   +5.602898589987067e-02
  +0.370000   +1.195749091542279e-02   +5.695113823514860e-02
  +0.380000   +1.253146363473679e-02   +5.783741146244250e-02
  +0.390000   +1.311411896736366e-02   +5.868763125830548e-02
  +0.400000   +1.370509547764798e-02   +5.950161612465269e-02
  +0.410000   +1.430402987734182e-02   +6.027917696842518e-02
  +0.420000   +1.491055694742051e-02   +6.102011664905179e-02
  +0.430000   +1.552430945519904e-02   +6.172422949064113e-02
  +0.440000   +1.614491806638032e-02   +6.239130075548507e-02
  +0.450000   +1.677201125162900e-02   +6.302110607505539e-02
  +0.460000   +1.740521518722533e-02   +6.361341083422301e-02
  +0.470000   +1.804415364930750e-02   +6.416796950391147e-02
  +0.480000   +1.868844790116061e-02   +6.468452491680708e-02
  +0.490000   +1.933771657295303e-02   +6.516280748007151e-02
  +0.500000   +1.999157553325691e-02   +6.560253431822832e-02
  +0.510000   +2.064963775161652e-02   +6.600340833850030e-02
  +0.520000   +2.131151315134635e-02   +6.636511720984703e-02
  +0.530000   +2.197680845164711e-02   +6.668733224575801e-02
  +0.540000   +2.264512699802192e-02   +6.696970717947473e-02
  +0.550000   +2.331606857985367e-02   +6.721187681870543e-02
  +0.560000   +2.398922923386614e-02   +6.741345556501505e-02
  +0.570000   +2.466420103203256e-02   +6.757403578087209e-02
  +0.580000   +2.534057185231222e-02   +6.769318598474386e-02
  +0.590000   +2.601792513038554e-02   +6.777044885157851e-02
  +0.600000   +2.669583959031282e-02   +6.780533899239424e-02
  +0.610000   +2.737388895175915e-02   +6.779734048239780e-02
  +0.620000   +2.805164161109674e-02   +6.774590410192130e-02
  +0.630000   +2.872866029330910e-02   +6.765044424831393e-02
  +0.640000   +2.940450167116710e-02   +6.751033546951628e-02
  +0.650000   +3.007871594761078e-02   +6.732490856108009e-02
  +0.660000   +3.075084639663558e-02   +6.709344615749512e-02
  +0.670000   +3.142042885722619e-02   +6.681517773535957e-02
  +0.680000   +3.208699117397709e-02   +6.648927392955033e-02
  +0.690000   +3.275005257695334e-02   +6.611484004329660e-02
  +0.700000   +3.340912299203239e-02   +6.569090860786293e-02
  +0.710000   +3.406370227137322e-02   +6.521643081599068e-02
  +0.720000   +3.471327933170933e-02   +6.469026661344927e-02
  +0.730000   +3.535733118576310e-02   +6.411117318248027e-02
  +0.740000   +3.599532184910648e-02   +6.347779148615343e-02
  +0.750000   +3.662670110108306e-02   +6.278863045899952e-02
  +0.760000   +3.725090307373970e-02   +6.204204832024270e-02
  +0.770000   +3.786734463679438e-02   +6.123623034242109e-02
  +0.780000   +3.847542353908696e-02   +6.036916221724913e-02
  +0.790000   +3.907451625715760e-02   +5.943859790367001e-02
  +0.800000   +3.966397548878978e-02   +5.844202049309112e-02
  +0.810000   +4.024312721242061e-02   +5.737659414363426e-02
  +0.820000   +4.081126721064979e-02   +5.623910445831606e-02
  +0.830000   +4.136765692529782e-02   +5.502588371832650e-02
  +0.840000   +4.191151846903440e-02   +5.373271598594152e-02
  +0.850000   +4.244202855911036e-02   +5.235471502756617e-02
  +0.860000   +4.295831105373991e-02   +5.088616488968480e-02
  +0.870000   +4.345942764767984e-02   +4.932030813451703e-02
  +0.880000   +4.394436609827450e-02   +4.764905906267703e-02
  +0.890000   +4.441202506881466e-02   +4.586260663936985e-02
  +0.900000   +4.486119422567410e-02   +4.394885036963706e-02
  +0.910000   +4.529052748633764e-02   +4.189257424224450e-02
  +0.920000   +4.569850604917344e-02   +3.967419272377672e-02
  +0.930000   +4.608338555447701e-02   +3.726776193471021e-02
  +0.940000   +4.644311735459504e-02   +3.463764927455973e-02
  +0.950000   +4.677522482179240e-02   +3.173255546490556e-02
  +0.960000   +4.707659492876564e-02   +2.847374693272117e-02
  +0.970000   +4.734309117216456e-02   +2.472868580994811e-02
  +0.980000   +4.756872124724678e-02   +2.023894359682596e-02
  +0.990000   +4.774332646606627e-02   +1.433733527509498e-02
  +1.000000   +4.783895654019011e-02   +0.000000000000000e+00
