# dp/dPsi( Psi ) for C_mast_spherical, from C_mast_spherical.npz
#
# Psi = 1 - psi_n: freegs4e's normalised flux is 0 on the AXIS and
# 1 on the boundary, and MEQ's is the other way up.
# The values are d/dpsi in the reference and d/dPsi here, so they
# carry a factor of the span 8.155404366496108e-02.
# Amplitude 7.043548213581768e+05, shape ( 1 - psi_n^1.5 )^2.
#
#   Psi            value                    d/dPsi
  -0.300000   +1.335801519164587e+04   +9.475069254009299e+04
  -0.290000   +1.242907016640336e+04   +9.104454404886643e+04
  -0.280000   +1.153699962309287e+04   +8.737580185242977e+04
  -0.270000   +1.068142932669069e+04   +8.374450047791173e+04
  -0.260000   +9.861984693512155e+03   +8.015067513346770e+04
  -0.250000   +9.078290784307248e+03   +7.659436172723572e+04
  -0.240000   +8.329972297163076e+03   +7.307559688697566e+04
  -0.230000   +7.616653560206592e+03   +6.959441798042323e+04
  -0.220000   +6.937958524099869e+03   +6.615086313638960e+04
  -0.210000   +6.293510754320688e+03   +6.274497126664131e+04
  -0.200000   +5.682933423220153e+03   +5.937678208859542e+04
  -0.190000   +5.105849301849216e+03   +5.604633614886778e+04
  -0.180000   +4.561880751545210e+03   +5.275367484771332e+04
  -0.170000   +4.050649715269396e+03   +4.949884046440071e+04
  -0.160000   +3.571777708685897e+03   +4.628187618356509e+04
  -0.150000   +3.124885810972023e+03   +4.310282612258518e+04
  -0.140000   +2.709594655349498e+03   +3.996173536003430e+04
  -0.130000   +2.325524419325578e+03   +3.685864996525671e+04
  -0.120000   +1.972294814632593e+03   +3.379361702912482e+04
  -0.110000   +1.649525076853685e+03   +3.076668469603423e+04
  -0.100000   +1.356833954722309e+03   +2.777790219720042e+04
  -0.090000   +1.093839699081776e+03   +2.482731988531852e+04
  -0.080000   +8.601600514913027e+02   +2.191498927065965e+04
  -0.070000   +6.554122324634726e+02   +1.904096305867320e+04
  -0.060000   +4.792129293178807e+02   +1.620529518917504e+04
  -0.050000   +3.311782836346172e+02   +1.340804087720332e+04
  -0.040000   +2.109238782904935e+02   +1.064925665562956e+04
  -0.030000   +1.180647240599819e+02   +7.929000419617700e+03
  -0.020000   +5.221524576193352e+01   +5.247331473030935e+03
  -0.010000   +1.298926793204253e+01   +2.604310576890613e+03
  +0.000000   +0.000000000000000e+00   +0.000000000000000e+00
  +0.010000   +1.286002094909101e+01   +2.565536428148306e+03
  +0.020000   +5.118126343477292e+01   +5.092233262053538e+03
  +0.030000   +1.145749973374472e+02   +7.580023382341285e+03
  +0.040000   +2.026518127232430e+02   +1.002883793520633e+04
  +0.050000   +3.150216021851300e+02   +1.243860626900924e+04
  +0.060000   +4.512935425350877e+02   +1.480925586786165e+04
  +0.070000   +6.110760758163268e+02   +1.714071228202304e+04
  +0.080000   +7.939768896027738e+02   +1.943289905492074e+04
  +0.090000   +9.996028965510108e+02   +2.168573764658981e+04
  +0.100000   +1.227560213167832e+03   +2.389914735331652e+04
  +0.110000   +1.477454137754289e+03   +2.607304522325244e+04
  +0.120000   +1.748889127484685e+03   +2.820734596774924e+04
  +0.130000   +2.041468774576435e+03   +3.030196186814657e+04
  +0.140000   +2.354795781503838e+03   +3.235680267772376e+04
