# dgg/dPsi( Psi ) for C_mast_spherical, from C_mast_spherical_shaped.npz
#
# Psi = 1 - psi_n: freegs4e's normalised flux is 0 on the AXIS and
# 1 on the boundary, and MEQ's is the other way up.
# The values are d/dpsi in the reference and d/dPsi here, so they
# carry a factor of the span 8.085139507540710e-02.
# Amplitude 5.683281208605514e-01, shape ( 1 - psi_n^1.5 )^2.
#
#   Psi            value                    d/dPsi
  -0.300000   +1.068542020171346e-02   +7.579351794924134e-02
  -0.290000   +9.942333163961363e-03   +7.282887437079497e-02
  -0.280000   +9.228742973496181e-03   +6.989415305042995e-02
  -0.270000   +8.544350270089216e-03   +6.698938160728533e-02
  -0.260000   +7.888855414608912e-03   +6.411458820527091e-02
  -0.250000   +7.261958483497839e-03   +6.126980156823060e-02
  -0.240000   +6.663359263095189e-03   +5.845505099565237e-02
  -0.230000   +6.092757243799506e-03   +5.567036637894991e-02
  -0.220000   +5.549851614065461e-03   +5.291577821834073e-02
  -0.210000   +5.034341254228898e-03   +5.019131764034854e-02
  -0.200000   +4.545924730153508e-03   +4.749701641595760e-02
  -0.190000   +4.084300286692661e-03   +4.483290697944967e-02
  -0.180000   +3.649165840959257e-03   +4.219902244795430e-02
  -0.170000   +3.240218975396409e-03   +3.959539664174688e-02
  -0.160000   +2.857156930641248e-03   +3.702206410532864e-02
  -0.150000   +2.499676598173866e-03   +3.447906012932644e-02
  -0.140000   +2.167474512743008e-03   +3.196642077325148e-02
  -0.130000   +1.860246844559679e-03   +2.948418288915809e-02
  -0.120000   +1.577689391249534e-03   +2.703238414624728e-02
  -0.110000   +1.319497569554237e-03   +2.461106305646039e-02
  -0.100000   +1.085366406771854e-03   +2.222025900111394e-02
  -0.090000   +8.749905319253088e-04   +1.986001225862490e-02
  -0.080000   +6.880641666480681e-04   +1.753036403338508e-02
  -0.070000   +5.242811157749855e-04   +1.523135648584012e-02
  -0.060000   +3.833347576261173e-04   +1.296303276383722e-02
  -0.050000   +2.649180339704424e-04   +1.072543703530670e-02
  -0.040000   +1.687234396558051e-04   +8.518614522347683e-03
  -0.030000   +9.444301189066206e-05   +6.342611536792113e-03
