# dp/dPsi( Psi ) for C_mast_spherical, from C_mast_spherical_shaped.npz
#
# Psi = 1 - psi_n: freegs4e's normalised flux is 0 on the AXIS and
# 1 on the boundary, and MEQ's is the other way up.
# The values are d/dpsi in the reference and d/dPsi here, so they
# carry a factor of the span 8.085139507540710e-02.
# Amplitude 6.824242298106542e+05, shape ( 1 - psi_n^1.5 )^2.
#
#   Psi            value                    d/dPsi
  -0.300000   +1.283059800088041e+04   +9.100963195844076e+04
  -0.290000   +1.193833069823065e+04   +8.744981407080752e+04
  -0.280000   +1.108148195495312e+04   +8.392592555773075e+04
  -0.270000   +1.025969231202056e+04   +8.043799958309763e+04
  -0.260000   +9.472601975510968e+03   +7.698606996493290e+04
  -0.250000   +8.719850809975896e+03   +7.357017119360637e+04
  -0.240000   +8.001078331623083e+03   +7.019033845069673e+04
  -0.230000   +7.315923701307324e+03   +6.684660762854191e+04
  -0.220000   +6.664025717322067e+03   +6.353901535050557e+04
  -0.210000   +6.045022807984770e+03   +6.026759899199320e+04
  -0.200000   +5.458553024008116e+03   +5.703239670225108e+04
  -0.190000   +4.904254030649249e+03   +5.383344742698495e+04
  -0.180000   +4.381763099628498e+03   +5.067079093183512e+04
  -0.170000   +3.890717100808947e+03   +4.754446782674948e+04
  -0.160000   +3.430752493627603e+03   +4.445451959129553e+04
  -0.150000   +3.001505318268551e+03   +4.140098860095670e+04
  -0.140000   +2.602611186568050e+03   +3.838391815445996e+04
  -0.130000   +2.233705272640953e+03   +3.540335250218443e+04
  -0.120000   +1.894422303217471e+03   +3.245933687570414e+04
  -0.110000   +1.584396547678524e+03   +2.955191751851990e+04
  -0.100000   +1.303261807777725e+03   +2.668114171804123e+04
  -0.090000   +1.050651407036843e+03   +2.384705783887771e+04
  -0.080000   +8.261981798017165e+02   +2.104971535751010e+04
  -0.070000   +6.295344599441396e+02   +1.828916489840796e+04
  -0.060000   +4.602920691950839e+02   +1.556545827167062e+04
  -0.050000   +3.181023050935584e+02   +1.287864851226982e+04
  -0.040000   +2.025959285346869e+02   +1.022878992097835e+04
  -0.030000   +1.134031508996850e+02   +7.615938107073817e+03
  -0.020000   +5.015362074955067e+01   +5.040150032913094e+03
  -0.010000   +1.247641006322514e+01   +2.501484060477946e+03
  +0.000000   +0.000000000000000e+00   +0.000000000000000e+00
  +0.010000   +1.235226616480266e+01   +2.464240839220792e+03
  +0.020000   +4.916046335382398e+01   +4.891175595681487e+03
  +0.030000   +1.100512097566793e+02   +7.280739800095381e+03
  +0.040000   +1.946504705899547e+02   +9.632867317225848e+03
  +0.050000   +3.025835411355494e+02   +1.194749028498630e+04
  +0.060000   +4.334750291556967e+02   +1.422453905064771e+04
  +0.070000   +5.869488366548836e+02   +1.646394210398361e+04
  +0.080000   +7.626281409571750e+02   +1.866562600717147e+04
  +0.090000   +9.601353750655079e+02   +2.082951532125556e+04
  +0.100000   +1.179092207267573e+03   +2.295553252896304e+04
