# dgg/dPsi( Psi ) for D_tcv_conventional, from D_tcv_conventional.npz
#
# Psi = 1 - psi_n: freegs4e's normalised flux is 0 on the AXIS and
# 1 on the boundary, and MEQ's is the other way up.
# The values are d/dpsi in the reference and d/dPsi here, so they
# carry a factor of the span 1.846917717363169e-02.
# Amplitude 6.891568298322963e-01, shape ( 1 - psi_n^1.5 )^2.
#
#   Psi            value                    d/dPsi
  -0.300000   +2.959855804096848e-03   +2.099476480850113e-02
  -0.290000   +2.754021083503738e-03   +2.017356008869648e-02
  -0.280000   +2.556356974173133e-03   +1.936064381872179e-02
  -0.270000   +2.366780553478343e-03   +1.855602364906410e-02
  -0.260000   +2.185208821536731e-03   +1.775970738111169e-02
  -0.250000   +2.011558699679841e-03   +1.697170297135430e-02
  -0.240000   +1.845747028880735e-03   +1.619201853573476e-02
  -0.230000   +1.687690568137067e-03   +1.542066235415902e-02
  -0.220000   +1.537305992808202e-03   +1.465764287517136e-02
  -0.210000   +1.394509892904743e-03   +1.390296872080258e-02
  -0.200000   +1.259218771328679e-03   +1.315664869159868e-02
  -0.190000   +1.131349042062302e-03   +1.241869177183873e-02
  -0.180000   +1.010817028303971e-03   +1.168910713495029e-02
  -0.170000   +8.975389605486839e-04   +1.096790414913195e-02
  -0.160000   +7.914309746113636e-04   +1.025509238319246e-02
  -0.150000   +6.924091095906150e-04   +9.550681612617015e-03
  -0.140000   +6.003893057706461e-04   +8.854681825871326e-03
  -0.130000   +5.152874024589029e-04   +8.167103230955165e-03
  -0.120000   +4.370191357568834e-04   +7.487956262217497e-03
  -0.110000   +3.655001362614196e-04   +6.817251587445924e-03
  -0.100000   +3.006459266936708e-04   +6.155000115244509e-03
  -0.090000   +2.423719194527904e-04   +5.501213002713678e-03
  -0.080000   +1.905934140912654e-04   +4.855901663448395e-03
  -0.070000   +1.452255947085848e-04   +4.219077775870044e-03
  -0.060000   +1.061835272598621e-04   +3.590753291909720e-03
  -0.050000   +7.338215677579089e-05   +2.970940446061003e-03
  -0.040000   +4.673630449014427e-05   +2.359651764821690e-03
  -0.030000   +2.616066487082451e-05   +1.756900076544991e-03
  -0.020000   +1.156980255026644e-05   +1.162698521722299e-03
  -0.010000   +2.878149150756287e-06   +5.770605637206738e-04
  +0.000000   +0.000000000000000e+00   +0.000000000000000e+00
  +0.010000   +2.849510732011987e-06   +5.684690261638362e-04
  +0.020000   +1.134069376812537e-05   +1.128332013421457e-03
  +0.030000   +2.538741467263144e-05   +1.679574089528214e-03
  +0.040000   +4.490338837724686e-05   +2.222179997926000e-03
  +0.050000   +6.980217526827500e-05   +2.756134083694376e-03
  +0.060000   +9.999717712997484e-05   +3.281420278834464e-03
  +0.070000   +1.354016329372677e-04   +3.798022086846345e-03
  +0.080000   +1.759286144905167e-04   +4.305922566558207e-03
  +0.090000   +2.214910218846655e-04   +4.805104315162244e-03
  +0.100000   +2.720015788045747e-04   +5.295549450409326e-03
  +0.110000   +3.273728276378853e-04   +5.777239591910864e-03
  +0.120000   +3.875171243962040e-04   +6.250155841492456e-03
  +0.130000   +4.523466334348462e-04   +6.714278762540033e-03
  +0.140000   +5.217733219607259e-04   +7.169588358274420e-03
  +0.150000   +5.957089543173644e-04   +7.616064048885793e-03
  +0.160000   +6.740650860352221e-04   +8.053684647453825e-03
  +0.170000   +7.567530576348436e-04   +8.482428334573940e-03
  +0.180000   +8.436839881694293e-04   +8.902272631603541e-03
  +0.190000   +9.347687684925950e-04   +9.313194372435451e-03
  +0.200000   +1.029918054236077e-03   +9.715169673698138e-03
  +0.210000   +1.129042258481136e-03   +1.010817390327433e-02
  +0.220000   +1.232051544106241e-03   +1.049218164702045e-02
  +0.230000   +1.338855815792438e-03   +1.086716667355967e-02
  +0.240000   +1.449364711666440e-03   +1.123310189701046e-02
  +0.250000   +1.563487594560062e-03   +1.158995933750075e-02
  +0.260000   +1.681133542863051e-03   +1.193771007930470e-02
  +0.270000   +1.802211340944664e-03   +1.227632422642482e-02
  +0.280000   +1.926629469117505e-03   +1.260577085542626e-02
  +0.290000   +2.054296093115080e-03   +1.292601796531251e-02
  +0.300000   +2.185119053052379e-03   +1.323703242421270e-02
  +0.310000   +2.319005851836344e-03   +1.353877991262873e-02
  +0.320000   +2.455863642990479e-03   +1.383122486296727e-02
  +0.330000   +2.595599217854949e-03   +1.411433039505482e-02
  +0.340000   +2.738118992120378e-03   +1.438805824730475e-02
  +0.350000   +2.883328991650098e-03   +1.465236870317278e-02
  +0.360000   +3.031134837541711e-03   +1.490722051250021e-02
  +0.370000   +3.181441730374724e-03   +1.515257080730426e-02
  +0.380000   +3.334154433586312e-03   +1.538837501152824e-02
  +0.390000   +3.489177255912157e-03   +1.561458674421376e-02
  +0.400000   +3.646414032823668e-03   +1.583115771549925e-02
  +0.410000   +3.805768106886585e-03   +1.603803761478418e-02
  +0.420000   +3.967142306959060e-03   +1.623517399032561e-02
  +0.430000   +4.130438926139450e-03   +1.642251211945066e-02
  +0.440000   +4.295559698365621e-03   +1.659999486847546e-02
  +0.450000   +4.462405773557741e-03   +1.676756254131464e-02
  +0.460000   +4.630877691185994e-03   +1.692515271564502e-02
  +0.470000   +4.800875352132391e-03   +1.707270006534966e-02
  +0.480000   +4.972297988702596e-03   +1.721013616781137e-02
  +0.490000   +5.145044132628254e-03   +1.733738929444494e-02
  +0.500000   +5.319011580883401e-03   +1.745438418265125e-02
  +0.510000   +5.494097359119027e-03   +1.756104178713844e-02
  +0.520000   +5.670197682498154e-03   +1.765727900828197e-02
  +0.530000   +5.847207913688799e-03   +1.774300839487754e-02
  +0.540000   +6.025022517744051e-03   +1.781813781827351e-02
  +0.550000   +6.203535013566230e-03   +1.788257011444064e-02
  +0.560000   +6.382637921615223e-03   +1.793620269003715e-02
  +0.570000   +6.562222707478869e-03   +1.797892708794083e-02
  +0.580000   +6.742179720874554e-03   +1.801062850703131e-02
  +0.590000   +6.922398129595158e-03   +1.803118527019297e-02
  +0.600000   +7.102765847847430e-03   +1.804046823354665e-02
  +0.610000   +7.283169458355463e-03   +1.803834012877421e-02
  +0.620000   +7.463494127513935e-03   +1.802465482903493e-02
  +0.630000   +7.643623512772811e-03   +1.799925652733517e-02
  +0.640000   +7.823439661314321e-03   +1.796197881424206e-02
  +0.650000   +8.002822898940345e-03   +1.791264363944611e-02
  +0.660000   +8.181651707919407e-03   +1.785106013877807e-02
  +0.670000   +8.359802592341351e-03   +1.777702330473910e-02
  +0.680000   +8.537149929287382e-03   +1.769031247424605e-02
  +0.690000   +8.713565803834158e-03   +1.759068960190437e-02
  +0.700000   +8.888919825561529e-03   +1.747789728041770e-02
  +0.710000   +9.063078923809097e-03   +1.735165646134658e-02
  +0.720000   +9.235907118408179e-03   +1.721166381884032e-02
  +0.730000   +9.407265261977334e-03   +1.705758868551161e-02
  +0.740000   +9.577010749078822e-03   +1.688906947239218e-02
  +0.750000   +9.744997186546254e-03   +1.670570946265072e-02
  +0.760000   +9.911074018051993e-03   +1.650707183974190e-02
  +0.770000   +1.007508609440742e-02   +1.629267377246667e-02
  +0.780000   +1.023687317907238e-02   +1.606197932862295e-02
  +0.790000   +1.039626937574231e-02   +1.581439092057326e-02
  +0.800000   +1.055310246147356e-02   +1.554923889294553e-02
  +0.810000   +1.070719310430241e-02   +1.526576873413228e-02
  +0.820000   +1.085835393828055e-02   +1.496312521315126e-02
  +0.830000   +1.100638846066094e-02   +1.464033248701333e-02
  +0.840000   +1.115108970467844e-02   +1.429626885215184e-02
  +0.850000   +1.129223862554240e-02   +1.392963426430388e-02
  +0.860000   +1.142960211464678e-02   +1.353890792172500e-02
  +0.870000   +1.156293052401127e-02   +1.312229192260645e-02
  +0.880000   +1.169195453367163e-02   +1.267763496433572e-02
  +0.890000   +1.181638111906351e-02   +1.220232669698776e-02
  +0.900000   +1.193588825561394e-02   +1.169314763079744e-02
  +0.910000   +1.205011780104065e-02   +1.114604935348057e-02
  +0.920000   +1.215866565895539e-02   +1.055582088609846e-02
  +0.930000   +1.226106772039116e-02   +9.915559531291982e-03
  +0.940000   +1.235677891672267e-02   +9.215784784919636e-03
  +0.950000   +1.244514030980958e-02   +8.442847824978799e-03
  +0.960000   +1.252532363935537e-02   +7.575800588319782e-03
  +0.970000   +1.259622833631348e-02   +6.579379698430029e-03
  +0.980000   +1.265626007219950e-02   +5.384826983610196e-03
  +0.990000   +1.270271599956944e-02   +3.814629429300132e-03
  +1.000000   +1.272815959059103e-02   +0.000000000000000e+00
