# dp/dPsi( Psi ) for D_tcv_conventional, from D_tcv_conventional.npz
#
# Psi = 1 - psi_n: freegs4e's normalised flux is 0 on the AXIS and
# 1 on the boundary, and MEQ's is the other way up.
# The values are d/dpsi in the reference and d/dPsi here, so they
# carry a factor of the span 1.846917717363169e-02.
# Amplitude 4.615693137791951e+05, shape ( 1 - psi_n^1.5 )^2.
#
#   Psi            value                    d/dPsi
  -0.300000   +1.982391457565333e+03   +1.406144257174904e+04
  -0.290000   +1.844531703989048e+03   +1.351143293303632e+04
  -0.280000   +1.712144294689622e+03   +1.296697456209705e+04
  -0.270000   +1.585173691452469e+03   +1.242807258291740e+04
  -0.260000   +1.463564304320103e+03   +1.189473222055105e+04
  -0.250000   +1.347260490567488e+03   +1.136695880393235e+04
  -0.240000   +1.236206553648733e+03   +1.084475776879090e+04
  -0.230000   +1.130346742114142e+03   +1.032813466067210e+04
  -0.220000   +1.029625248496482e+03   +9.817095138068527e+03
  -0.210000   +9.339862081653812e+02   +9.311644975666944e+03
  -0.200000   +8.433736981486438e+02   +8.811790067716396e+03
  -0.190000   +7.577317359192698e+02   +8.317536431522880e+03
  -0.180000   +6.770042781468557e+02   +7.828890211076387e+03
  -0.170000   +6.011352194120469e+02   +7.345857680816641e+03
  -0.160000   +5.300683908826111e+02   +6.868445249543940e+03
  -0.150000   +4.637475589496456e+02   +6.396659464482063e+03
  -0.140000   +4.021164238223699e+02   +5.930507015500531e+03
  -0.130000   +3.451186180798607e+02   +5.469994739503868e+03
  -0.120000   +2.926977051780334e+02   +5.015129624996118e+03
  -0.110000   +2.447971779100544e+02   +4.565918816829059e+03
  -0.100000   +2.013604568183366e+02   +4.122369621143582e+03
  -0.090000   +1.623308885560843e+02   +3.684489510513362e+03
  -0.080000   +1.276517441963784e+02   +3.252286129301727e+03
  -0.070000   +9.726621748656093e+01   +2.825767299242004e+03
  -0.060000   +7.111742304565954e+01   +2.404941025253240e+03
  -0.050000   +4.914839450242622e+01   +1.989815501503384e+03
  -0.040000   +3.130208257145313e+01   +1.580399117732974e+03
  -0.030000   +1.752135306468973e+01   +1.176700465853069e+03
  -0.020000   +7.748984835551578e+00   +7.787283468322327e+02
  -0.010000   +1.927667652647409e+00   +3.864917778880651e+02
  +0.000000   +0.000000000000000e+00   +0.000000000000000e+00
  +0.010000   +1.908486800459172e+00   +3.807375142389873e+02
  +0.020000   +7.595537058825091e+00   +7.557110524128084e+02
  +0.030000   +1.700346142100327e+01   +1.124910653694756e+03
  +0.040000   +3.007446964530573e+01   +1.488326099860542e+03
  +0.050000   +4.675066798179024e+01   +1.845946905878936e+03
  +0.060000   +6.697405645529322e+01   +2.197762310055509e+03
  +0.070000   +9.068652604755525e+01   +2.543761263703201e+03
  +0.080000   +1.178298557735732e+02   +2.883932420311743e+03
  +0.090000   +1.483457096470130e+02   +3.218264124185784e+03
  +0.100000   +1.821756335292168e+02   +3.546744398519607e+03
  +0.110000   +2.192610518559968e+02   +3.869360932873873e+03
  +0.120000   +2.595432642360510e+02   +4.186101070017293e+03
  +0.130000   +3.029634419144612e+02   +4.496951792093510e+03
  +0.140000   +3.494626240943001e+02   +4.801899706070281e+03
  +0.150000   +3.989817141089620e+02   +5.100931028425068e+03
  +0.160000   +4.514614754373158e+02   +5.394031569017317e+03
  +0.170000   +5.068425275533028e+02   +5.681186714094165e+03
  +0.180000   +5.650653416010135e+02   +5.962381408371836e+03
  +0.190000   +6.260702358857050e+02   +6.237600136130643e+03
  +0.200000   +6.897973711705530e+02   +6.506826901256302e+03
  +0.210000   +7.561867457682541e+02   +6.770045206154980e+03
  +0.220000   +8.251781904158169e+02   +7.027238029463318e+03
  +0.230000   +8.967113629200802e+02   +7.278387802468253e+03
  +0.240000   +9.707257425605926e+02   +7.523476384144095e+03
