# dgg/dPsi( Psi ) for D_tcv_conventional, from D_tcv_conventional_shaped.npz
#
# Psi = 1 - psi_n: freegs4e's normalised flux is 0 on the AXIS and
# 1 on the boundary, and MEQ's is the other way up.
# The values are d/dpsi in the reference and d/dPsi here, so they
# carry a factor of the span 1.848073210639812e-02.
# Amplitude 6.873258384788419e-01, shape ( 1 - psi_n^1.5 )^2.
#
#   Psi            value                    d/dPsi
  -0.300000   +2.953838754107784e-03   +2.095208484105590e-02
  -0.290000   +2.748422472075626e-03   +2.013254953698546e-02
  -0.280000   +2.551160191383173e-03   +1.932128583326977e-02
  -0.270000   +2.361969157975997e-03   +1.851830136484331e-02
  -0.260000   +2.180766540700775e-03   +1.772360391723504e-02
  -0.250000   +2.007469429778531e-03   +1.693720143076004e-02
  -0.240000   +1.841994835235163e-03   +1.615910200486237e-02
  -0.230000   +1.684259685287809e-03   +1.538931390261586e-02
  -0.220000   +1.534180824685345e-03   +1.462784555538988e-02
  -0.210000   +1.391675013001392e-03   +1.387470556768759e-02
  -0.200000   +1.256658922878032e-03   +1.312990272216451e-02
  -0.190000   +1.129049138218424e-03   +1.239344598483569e-02
  -0.180000   +1.008762152326336e-03   +1.166534451048015e-02
  -0.170000   +8.957143659906384e-04   +1.094560764825199e-02
  -0.160000   +7.898220855125976e-04   +1.023424494750768e-02
  -0.150000   +6.910015206737754e-04   +9.531266163859946e-03
  -0.140000   +5.991687826422149e-04   +8.836681265469099e-03
  -0.130000   +5.142398818144719e-04   +8.150500439583205e-03
  -0.120000   +4.361307255909601e-04   +7.472734099339385e-03
  -0.110000   +3.647571160819059e-04   +6.803392890838841e-03
  -0.100000   +3.000347477411622e-04   +6.142487700509690e-03
  -0.090000   +2.418792049248481e-04   +5.490029662771238e-03
  -0.080000   +1.902059593718206e-04   +4.846030168015912e-03
  -0.070000   +1.449303676026414e-04   +4.210500870924195e-03
  -0.060000   +1.059676682336712e-04   +3.583453699130263e-03
  -0.050000   +7.323297920267597e-05   +2.964900862256367e-03
  -0.040000   +4.664129490216634e-05   +2.354854861335356e-03
  -0.030000   +2.610748321648275e-05   +1.753328498641862e-03
  -0.020000   +1.154628245843893e-05   +1.160334887954151e-03
  -0.010000   +2.872298201094444e-06   +5.758874652697902e-04
  +0.000000   +0.000000000000000e+00   +0.000000000000000e+00
  +0.010000   +2.843718000996118e-06   +5.673133933310043e-04
  +0.020000   +1.131763942837712e-05   +1.126038242853437e-03
  +0.030000   +2.533580494793914e-05   +1.676159706556233e-03
  +0.040000   +4.481210489912260e-05   +2.217662558896128e-03
  +0.050000   +6.966027539012780e-05   +2.750531176777357e-03
  +0.060000   +9.979389424953061e-05   +3.274749524865454e-03
  +0.070000   +1.351263768275421e-04   +3.790301140196007e-03
  +0.080000   +1.755709716396619e-04   +4.297169116036678e-03
  +0.090000   +2.210407558450279e-04   +4.795336084957589e-03
  +0.100000   +2.714486305513165e-04   +5.284784201062188e-03
  +0.110000   +3.267073159375410e-04   +5.765495121327123e-03
  +0.120000   +3.867293461855618e-04   +6.237449985995830e-03
  +0.130000   +4.514270642105634e-04   +6.700629397966664e-03
  +0.140000   +5.207126161801090e-04   +7.155013401111628e-03
  +0.150000   +5.944979458107677e-04   +7.600581457457308e-03
  +0.160000   +6.726947884305405e-04   +8.037312423153975e-03
  +0.170000   +7.552146647946033e-04   +8.465184523153417e-03
  +0.180000   +8.419688746410060e-04   +8.884175324509563e-03
  +0.190000   +9.328684899721175e-04   +9.294261708209291e-03
  +0.200000   +1.027824348046607e-03   +9.695419839433249e-03
  +0.210000   +1.126747044065743e-03   +1.008762513613845e-02
  +0.220000   +1.229546923536641e-03   +1.047085223584539e-02
  +0.230000   +1.336134074293875e-03   +1.084507496050263e-02
  +0.240000   +1.446418318159563e-03   +1.121026627929117e-02
  +0.250000   +1.560309202220568e-03   +1.156639826921883e-02
  +0.260000   +1.677715989699921e-03   +1.191344207334214e-02
  +0.270000   +1.798547650397877e-03   +1.225136785643878e-02
  +0.280000   +1.922712850676148e-03   +1.258014475793772e-02
  +0.290000   +2.050119942956851e-03   +1.289974084189685e-02
  +0.300000   +2.180676954705535e-03   +1.321012304379859e-02
  +0.310000   +2.314291576865206e-03   +1.351125711391250e-02
  +0.320000   +2.450871151705686e-03   +1.380310755695011e-02
  +0.330000   +2.590322660049737e-03   +1.408563756771111e-02
  +0.340000   +2.732552707834235e-03   +1.435880896239034e-02
  +0.350000   +2.877467511961235e-03   +1.462258210518271e-02
  +0.360000   +3.024972885389907e-03   +1.487691582978642e-02
  +0.370000   +3.174974221416191e-03   +1.512176735536441e-02
  +0.380000   +3.327376477082356e-03   +1.535709219647803e-02
  +0.390000   +3.482084155653533e-03   +1.558284406645612e-02
  +0.400000   +3.639001288092672e-03   +1.579897477360489e-02
  +0.410000   +3.798031413459078e-03   +1.600543410959954e-02
  +0.420000   +3.959077558148775e-03   +1.620216972932555e-02
  +0.430000   +4.122042213887130e-03   +1.638912702135501e-02
  +0.440000   +4.286827314375731e-03   +1.656624896815033e-02
  +0.450000   +4.453334210485709e-03   +1.673347599498147e-02
  +0.460000   +4.621463643879183e-03   +1.689074580642275e-02
  +0.470000   +4.791115718928279e-03   +1.703799320915778e-02
  +0.480000   +4.962189872787917e-03   +1.717514991966476e-02
  +0.490000   +5.134584843463182e-03   +1.730214435517454e-02
  +0.500000   +5.308198635695230e-03   +1.741890140608829e-02
  +0.510000   +5.482928484470185e-03   +1.752534218780424e-02
  +0.520000   +5.658670815933828e-03   +1.762138376962992e-02
  +0.530000   +5.835321205469966e-03   +1.770693887813940e-02
  +0.540000   +6.012774332672223e-03   +1.778191557196806e-02
  +0.550000   +6.190923932906871e-03   +1.784621688461012e-02
  +0.560000   +6.369662745127469e-03   +1.789974043128436e-02
  +0.570000   +6.548882455559968e-03   +1.794237797534956e-02
  +0.580000   +6.728473636828295e-03   +1.797401494906295e-02
  +0.590000   +6.908325682034595e-03   +1.799452992266467e-02
  +0.600000   +7.088326733243278e-03   +1.800379401481034e-02
  +0.610000   +7.268363603742852e-03   +1.800167023623271e-02
  +0.620000   +7.448321693371644e-03   +1.798801275715027e-02
