# dp/dPsi( Psi ) for D_tcv_conventional, from D_tcv_conventional_shaped.npz
#
# Psi = 1 - psi_n: freegs4e's normalised flux is 0 on the AXIS and
# 1 on the boundary, and MEQ's is the other way up.
# The values are d/dpsi in the reference and d/dPsi here, so they
# carry a factor of the span 1.848073210639812e-02.
# Amplitude 4.603429899789140e+05, shape ( 1 - psi_n^1.5 )^2.
#
#   Psi            value                    d/dPsi
  -0.300000   +1.978361481347723e+03   +1.403285725933096e+04
  -0.290000   +1.840781980960664e+03   +1.348396572761724e+04
  -0.280000   +1.708663700197357e+03   +1.294061417858138e+04
  -0.270000   +1.581951213746083e+03   +1.240280772579306e+04
  -0.260000   +1.460589044657415e+03   +1.187055158368403e+04
  -0.250000   +1.344521663321642e+03   +1.134385107035553e+04
  -0.240000   +1.233693486417613e+03   +1.082271161048690e+04
  -0.230000   +1.128048875831986e+03   +1.030713873835013e+04
  -0.220000   +1.027532137547756e+03   +9.797138100934691e+03
  -0.210000   +9.320875205009856e+02   +9.292715461188078e+03
  -0.200000   +8.416592154045187e+02   +8.793876701376994e+03
  -0.190000   +7.561913535374605e+02   +8.300627826574939e+03
  -0.180000   +6.756280054991199e+02   +7.812974968281876e+03
  -0.170000   +5.999131799260750e+02   +7.330924388182301e+03
  -0.160000   +5.289908221709363e+02   +6.854482482048153e+03
  -0.150000   +4.628048129413284e+02   +6.383655783793450e+03
  -0.140000   +4.012989668975379e+02   +5.918450969687970e+03
  -0.130000   +3.444170312071930e+02   +5.458874862737588e+03
  -0.120000   +2.921026840552804e+02   +5.004934437239514e+03
  -0.110000   +2.442995331076867e+02   +4.556636823520857e+03
  -0.100000   +2.009511139264228e+02   +4.113989312869952e+03
  -0.090000   +1.620008883344995e+02   +3.676999362669587e+03
  -0.080000   +1.273922427284495e+02   +3.245674601742965e+03
  -0.070000   +9.706848633626171e+01   +2.820022835922721e+03
  -0.060000   +7.097284941846901e+01   +2.400052053854812e+03
  -0.050000   +4.904848140997286e+01   +1.985770433049377e+03
  -0.040000   +3.123844900006983e+01   +1.577186346191566e+03
  -0.030000   +1.748573414801130e+01   +1.174308367726061e+03
  -0.020000   +7.733232031291492e+00   +7.771452807300578e+02
  -0.010000   +1.923748923697091e+00   +3.857060840901794e+02
  +0.000000   +0.000000000000000e+00   +0.000000000000000e+00
  +0.010000   +1.904607063998383e+00   +3.799635182042084e+02
  +0.020000   +7.580096196431225e+00   +7.541747778505940e+02
  +0.030000   +1.696889531909530e+01   +1.122623838361677e+03
  +0.040000   +3.001333167128688e+01   +1.485300502285655e+03
  +0.050000   +4.665562919446850e+01   +1.842194305906174e+03
  +0.060000   +6.683790582082510e+01   +2.193294509406105e+03
  +0.070000   +9.050217066111802e+01   +2.538590086559111e+03
  +0.080000   +1.175903210869805e+02   +2.878069713921087e+03
  +0.090000   +1.480441397024995e+02   +3.211721759491383e+03
  +0.100000   +1.818052911996284e+02   +3.539534270811768e+03
  +0.110000   +2.188153190916350e+02   +3.861494962468622e+03
  +0.120000   +2.590156423184320e+02   +4.177591202961368e+03
  +0.130000   +3.023475517172647e+02   +4.487810000897469e+03
  +0.140000   +3.487522063517957e+02   +4.792137990471195e+03
  +0.150000   +3.981706296922166e+02   +5.090561416180335e+03
  +0.160000   +4.505437056385022e+02   +5.383066116731282e+03
  +0.170000   +5.058121743784452e+02   +5.669637508079264e+03
  +0.180000   +5.639166280715251e+02   +5.950260565546188e+03
  +0.190000   +6.247975063490919e+02   +6.224919804954055e+03
  +0.200000   +6.883950916206799e+02   +6.493599262706864e+03
