# dgg/dPsi( Psi ) for E_testtokamak_diamagnetic, from E_testtokamak_diamagnetic.npz
#
# Psi = 1 - psi_n: freegs4e's normalised flux is 0 on the AXIS and
# 1 on the boundary, and MEQ's is the other way up.
# The values are d/dpsi in the reference and d/dPsi here, so they
# carry a factor of the span 4.584550873339535e-02.
# Amplitude -2.847867412182644e-01, shape ( 1 - psi_n^1.5 )^2.
#
#   Psi            value                    d/dPsi
  -0.300000   -3.036137978092713e-03   -2.153584735039644e-02
  -0.290000   -2.824998431518236e-03   -2.069347832885938e-02
  -0.280000   -2.622240071325874e-03   -1.985961136923810e-02
  -0.270000   -2.427777837785426e-03   -1.903425431919000e-02
  -0.260000   -2.241526591919679e-03   -1.821741518116278e-02
  -0.250000   -2.063401113935118e-03   -1.740910211670288e-02
  -0.240000   -1.893316101608720e-03   -1.660932345091932e-02
  -0.230000   -1.731186168629368e-03   -1.581808767710997e-02
  -0.220000   -1.576925842892103e-03   -1.503540346155717e-02
  -0.210000   -1.430449564743579e-03   -1.426127964850094e-02
  -0.200000   -1.291671685176846e-03   -1.349572526529725e-02
  -0.190000   -1.160506463973599e-03   -1.273874952777035e-02
  -0.180000   -1.036868067791888e-03   -1.199036184576775e-02
  -0.170000   -9.206705681972308e-04   -1.125057182892770e-02
  -0.160000   -8.118279396349494e-04   -1.051938929266879e-02
  -0.150000   -7.102540573414497e-04   -9.796824264412534e-03
  -0.140000   -6.158626951920703e-04   -9.082886990050006e-03
  -0.130000   -5.285675234829882e-04   -8.377587940664195e-03
  -0.120000   -4.482821066445822e-04   -7.680937819520825e-03
  -0.110000   -3.749199008834713e-04   -6.992947569340493e-03
  -0.100000   -3.083942517504020e-04   -6.313628379866649e-03
  -0.090000   -2.486183916308670e-04   -5.642991695743411e-03
  -0.080000   -1.955054371553796e-04   -4.981049224719884e-03
  -0.070000   -1.489683865259698e-04   -4.327812946196766e-03
  -0.060000   -1.089201167554450e-04   -3.683295120133430e-03
  -0.050000   -7.527338081569671e-05   -3.047508296334010e-03
  -0.040000   -4.794080469116969e-05   -2.420465324132462e-03
  -0.030000   -2.683488433339480e-05   -1.802179362497655e-03
  -0.020000   -1.186798251228203e-05   -1.192663890581144e-03
  -0.010000   -2.952325559620581e-06   -5.919327187313886e-04
  +0.000000   -0.000000000000000e+00   -0.000000000000000e+00
