# dp/dPsi( Psi ) for E_testtokamak_diamagnetic, from E_testtokamak_diamagnetic.npz
#
# Psi = 1 - psi_n: freegs4e's normalised flux is 0 on the AXIS and
# 1 on the boundary, and MEQ's is the other way up.
# The values are d/dpsi in the reference and d/dPsi here, so they
# carry a factor of the span 4.584550873339535e-02.
# Amplitude 9.533424825003585e+05, shape ( 1 - psi_n^1.2 )^1.5.
#
#   Psi            value                    d/dPsi
  -0.300000   -9.838116285510281e+03   +5.043464727572210e+04
  -0.290000   -9.338485918643597e+03   +4.948950367595776e+04
  -0.280000   -8.848365731899030e+03   +4.853250215673554e+04
  -0.270000   -8.367877678416240e+03   +4.756295755911426e+04
  -0.260000   -7.897150887633447e+03   +4.658011837551280e+04
  -0.250000   -7.436322373406711e+03   +4.558315757008420e+04
  -0.240000   -6.985537842066142e+03   +4.457116171323783e+04
  -0.230000   -6.544952619151748e+03   +4.354311803728991e+04
  -0.220000   -6.114732718038639e+03   +4.249789890735211e+04
  -0.210000   -5.695056079441923e+03   +4.143424304960363e+04
  -0.200000   -5.286114018351166e+03   +4.035073267195083e+04
  -0.190000   -4.888112924946789e+03   +3.924576532591028e+04
  -0.180000   -4.501276279452821e+03   +3.811751895736637e+04
  -0.170000   -4.125847059089844e+03   +3.696390802231294e+04
  -0.160000   -3.762090640412246e+03   +3.578252771490090e+04
  -0.150000   -3.410298335560209e+03   +3.457058212950113e+04
  -0.140000   -3.070791751348810e+03   +3.332479032604054e+04
  -0.130000   -2.743928233697909e+03   +3.204126139862386e+04
  -0.120000   -2.430107769931310e+03   +3.071532507880160e+04
  -0.110000   -2.129781890500966e+03   +2.934129689781059e+04
  -0.100000   -1.843465379548378e+03   +2.791214414267947e+04
  -0.090000   -1.571752043756329e+03   +2.641899611678738e+04
  -0.080000   -1.315336543150019e+03   +2.485039978831567e+04
  -0.070000   -1.075045647314073e+03   +2.319113785363453e+04
  -0.060000   -8.518848882478047e+02   +2.142024717644164e+04
  -0.050000   -6.471119830042340e+02   +1.950745770713483e+04
  -0.040000   -4.623607618604646e+02   +1.740617417402330e+04
  -0.030000   -2.998717211003085e+02   +1.503772998951383e+04
  -0.020000   -1.629886318951257e+02   +1.224829034323799e+04
  -0.010000   -5.753962143633049e+01   +8.639519881482747e+03
  +0.000000   +0.000000000000000e+00   +0.000000000000000e+00
  +0.010000   +5.736725865996308e+01   +8.596428821098112e+03
  +0.020000   +1.620135697069284e+02   +1.212640342470960e+04
  +0.030000   +2.971846228644796e+02   +1.481378799707159e+04
  +0.040000   +4.568442734502379e+02   +1.706134671341549e+04
  +0.050000   +6.374741516436828e+02   +1.902546358412167e+04
