# dgg/dPsi( Psi ) for E_testtokamak_diamagnetic, from E_testtokamak_diamagnetic_shaped.npz
#
# Psi = 1 - psi_n: freegs4e's normalised flux is 0 on the AXIS and
# 1 on the boundary, and MEQ's is the other way up.
# The values are d/dpsi in the reference and d/dPsi here, so they
# carry a factor of the span 4.583584859130385e-02.
# Amplitude -2.849454444896115e-01, shape ( 1 - psi_n^1.5 )^2.
#
#   Psi            value                    d/dPsi
  -0.300000   -3.037189824993067e-03   -2.154330828084344e-02
  -0.290000   -2.825977130729252e-03   -2.070064742696849e-02
  -0.280000   -2.623148526445803e-03   -1.986649158048400e-02
  -0.270000   -2.428618922944219e-03   -1.904084859176610e-02
  -0.260000   -2.242303151751539e-03   -1.822372646603488e-02
  -0.250000   -2.064115963550497e-03   -1.741513336766430e-02
  -0.240000   -1.893972026565766e-03   -1.661507762464756e-02
  -0.230000   -1.731785924904790e-03   -1.582356773322492e-02
  -0.220000   -1.577472156851449e-03   -1.504061236268114e-02
  -0.210000   -1.430945133110908e-03   -1.426622036032023e-02
  -0.200000   -1.292119175003768e-03   -1.350040075662563e-02
  -0.190000   -1.160908512607679e-03   -1.274316277061433e-02
  -0.180000   -1.037227282844383e-03   -1.199451581539384e-02
  -0.170000   -9.209895275101450e-04   -1.125446950393156e-02
  -0.160000   -8.121091912473884e-04   -1.052303365504657e-02
  -0.150000   -7.105001194552499e-04   -9.800218299634315e-03
  -0.140000   -6.160760561366833e-04   -9.086033687135476e-03
  -0.130000   -5.287506416795968e-04   -8.380490292260668e-03
  -0.120000   -4.484374105694237e-04   -7.683598821983680e-03
  -0.110000   -3.750497890303443e-04   -6.995370222816133e-03
  -0.100000   -3.085010925923305e-04   -6.315815688378076e-03
  -0.090000   -2.487045235808953e-04   -5.644946667278538e-03
  -0.080000   -1.955731685264694e-04   -4.982774871322685e-03
  -0.070000   -1.490199954899723e-04   -4.329312284061386e-03
  -0.060000   -1.089578513011152e-04   -3.684571169701386e-03
  -0.050000   -7.529945870572062e-05   -3.048564082394601e-03
  -0.040000   -4.795741341817048e-05   -2.421303875926542e-03
  -0.030000   -2.684418107488386e-05   -1.802803713824901e-03
  -0.020000   -1.187209408451922e-05   -1.193077079910985e-03
  -0.010000   -2.953348370346289e-06   -5.921377893177416e-04
  +0.000000   -0.000000000000000e+00   -0.000000000000000e+00
  +0.010000   -2.923961697558485e-06   -5.833217752360571e-04
  +0.020000   -1.163699923261047e-05   -1.157812656155143e-03
  +0.030000   -2.605072768067621e-05   -1.723457381936088e-03
  +0.040000   -4.607660754902899e-05   -2.280240297403056e-03
  +0.050000   -7.162594076162323e-05   -2.828145338609626e-03
  +0.060000   -1.026098664964732e-04   -3.367156017738168e-03
  +0.070000   -1.389393568684333e-04   -3.897255407274296e-03
  +0.080000   -1.805252124499244e-04   -4.418426123413511e-03
  +0.090000   -2.272780576216919e-04   -4.930650308653860e-03
  +0.100000   -2.791083357452210e-04   -5.433909613525406e-03
  +0.110000   -3.359263041479099e-04   -5.928185177403541e-03
  +0.120000   -3.976420289115586e-04   -6.413457608349334e-03
  +0.130000   -4.641653794541506e-04   -6.889706961916031e-03
  +0.140000   -5.354060228942474e-04   -7.356912718855986e-03
  +0.150000   -6.112734181866781e-04   -7.815053761657694e-03
  +0.160000   -6.916768100174198e-04   -8.264108349836785e-03
  +0.170000   -7.765252224448343e-04   -8.704054093899329e-03
  +0.180000   -8.657274522735222e-04   -9.134867927889043e-03
  +0.190000   -9.591920621461846e-04   -9.556526080423245e-03
  +0.200000   -1.056827373337853e-03   -9.969004044114481e-03
  +0.210000   -1.158541458235813e-03   -1.037227654326660e-02
  +0.220000   -1.264242132487354e-03   -1.076631749972466e-02
  +0.230000   -1.373836946796254e-03   -1.115109999674809e-02
  +0.240000   -1.487233178347524e-03   -1.152659624076543e-02
  +0.250000   -1.604337821838475e-03   -1.189277752085685e-02
  +0.260000   -1.725057580092552e-03   -1.224961416579706e-02
  +0.270000   -1.849298854230651e-03   -1.259707549847700e-02
  +0.280000   -1.976967733372736e-03   -1.293512978750570e-02
  +0.290000   -2.107969983840462e-03   -1.326374419577643e-02
  +0.300000   -2.242211037829333e-03   -1.358288472576101e-02
  +0.310000   -2.379595981516356e-03   -1.389251616127413e-02
  +0.320000   -2.520029542566537e-03   -1.419260200542553e-02
  +0.330000   -2.663416076998549e-03   -1.448310441445012e-02
  +0.340000   -2.809659555366696e-03   -1.476398412707666e-02
  +0.350000   -2.958663548212721e-03   -1.503520038906162e-02
  +0.360000   -3.110331210737071e-03   -1.529671087247740e-02
  +0.370000   -3.264565266634955e-03   -1.554847158930234e-02
  +0.380000   -3.421267991037757e-03   -1.579043679881301e-02
  +0.390000   -3.580341192495094e-03   -1.602255890822643e-02
  +0.400000   -3.741686193927035e-03   -1.624478836598133e-02
  +0.410000   -3.905203812469525e-03   -1.645707354698038e-02
  +0.420000   -4.070794338128956e-03   -1.665936062904083e-02
  +0.430000   -4.238357511153793e-03   -1.685159345971599e-02
  +0.440000   -4.407792498022469e-03   -1.703371341255417e-02
  +0.450000   -4.578997865936722e-03   -1.720565923175269e-02
  +0.460000   -4.751871555698691e-03   -1.736736686404093e-02
  +0.470000   -4.926310852837546e-03   -1.751876927648527e-02
  +0.480000   -5.102212356837799e-03   -1.765979625874759e-02
  +0.490000   -5.279471948305596e-03   -1.779037420814468e-02
  +0.500000   -5.457984753892003e-03   -1.791042589564397e-02
  +0.510000   -5.637645108772195e-03   -1.801987021068738e-02
  +0.520000   -5.818346516457247e-03   -1.811862188245401e-02
  +0.530000   -5.999981605689556e-03   -1.820659117484676e-02
  +0.540000   -6.182442084144037e-03   -1.828368355211054e-02
  +0.550000   -6.365618688624159e-03   -1.834979931155020e-02
  +0.560000   -6.549401131404019e-03   -1.840483317930296e-02
  +0.570000   -6.733678042324366e-03   -1.844867386451891e-02
  +0.580000   -6.918336906200436e-03   -1.848120356659634e-02
  +0.590000   -7.103263995042075e-03   -1.850229742928485e-02
  +0.600000   -7.288344294519762e-03   -1.851182293448161e-02
  +0.610000   -7.473461424032834e-03   -1.850963922737249e-02
  +0.620000   -7.658497549645875e-03   -1.849559636316856e-02
  +0.630000   -7.843333289053608e-03   -1.846953446400853e-02
  +0.640000   -8.027847607610543e-03   -1.843128277257522e-02
  +0.650000   -8.211917704315242e-03   -1.838065858652633e-02
  +0.660000   -8.395418886465757e-03   -1.831746605486396e-02
  +0.670000   -8.578224431496336e-03   -1.824149481372897e-02
  +0.680000   -8.760205434258888e-03   -1.815251843463453e-02
  +0.690000   -8.941230637716128e-03   -1.805029265262382e-02
  +0.700000   -9.121166244655091e-03   -1.793455333495756e-02
  +0.710000   -9.299875707594244e-03   -1.780501414232160e-02
  +0.720000   -9.477219493525202e-03   -1.766136382367926e-02
  +0.730000   -9.653054819475057e-03   -1.750326307208767e-02
  +0.740000   -9.827235354063782e-03   -1.733034085111538e-02
  +0.750000   -9.999610879218326e-03   -1.714219007865999e-02
  +0.760000   -1.017002690493084e-02   -1.693836252519457e-02
  +0.770000   -1.033832422833193e-02   -1.671836274428457e-02
  +0.780000   -1.050433842628022e-02   -1.648164080108896e-02
  +0.790000   -1.066789926799366e-02   -1.622758349442088e-02
  +0.800000   -1.082883003075106e-02   -1.595550367239964e-02
  +0.810000   -1.098694669706928e-02   -1.566462710981672e-02
  +0.820000   -1.114205700557161e-02   -1.535407623053019e-02
  +0.830000   -1.129395931935971e-02   -1.502284969508514e-02
  +0.840000   -1.144244126411711e-02   -1.466979649245782e-02
  +0.850000   -1.158727807193166e-02   -1.429358261130826e-02
  +0.860000   -1.172823054362163e-02   -1.389264751494486e-02
  +0.870000   -1.186504250849636e-02   -1.346514632664346e-02
  +0.880000   -1.199743760989888e-02   -1.300887153535027e-02
  +0.890000   -1.212511516722711e-02   -1.252114458888006e-02
  +0.900000   -1.224774474216877e-02   -1.199866187982641e-02
  +0.910000   -1.236495883503214e-02   -1.143726922048195e-02
  +0.920000   -1.247634279134756e-02   -1.083161948137205e-02
  +0.930000   -1.258142037608008e-02   -1.017462961400657e-02
  +0.940000   -1.267963227925240e-02   -9.456571411128104e-03
  +0.950000   -1.277030234623143e-02   -8.663439439346221e-03
  +0.960000   -1.285258067624111e-02   -7.773738312242613e-03
  +0.970000   -1.292533794497269e-02   -6.751283304807841e-03
  +0.980000   -1.298693816791508e-02   -5.525519757189449e-03
  +0.990000   -1.303460787862304e-02   -3.914296660247162e-03
  +1.000000   -1.306071625040761e-02   -0.000000000000000e+00
