# dp/dPsi( Psi ) for E_testtokamak_diamagnetic, from E_testtokamak_diamagnetic_shaped.npz
#
# Psi = 1 - psi_n: freegs4e's normalised flux is 0 on the AXIS and
# 1 on the boundary, and MEQ's is the other way up.
# The values are d/dpsi in the reference and d/dPsi here, so they
# carry a factor of the span 4.583584859130385e-02.
# Amplitude 9.538737522148114e+05, shape ( 1 - psi_n^1.2 )^1.5.
#
#   Psi            value                    d/dPsi
  -0.300000   -9.841524626038579e+03   +5.045211997551051e+04
  -0.290000   -9.341721166033010e+03   +4.950664893793769e+04
  -0.280000   -8.851431180879101e+03   +4.854931587282102e+04
  -0.270000   -8.370776665966245e+03   +4.757943538385121e+04
  -0.260000   -7.899886795468573e+03   +4.659625570309308e+04
  -0.250000   -7.438898630709555e+03   +4.559894950817938e+04
  -0.240000   -6.987957928498149e+03   +4.458660305306873e+04
  -0.230000   -6.547220068185716e+03   +4.355820321921173e+04
  -0.220000   -6.116851120661435e+03   +4.251262198105950e+04
  -0.210000   -5.697029088286623e+03   +4.144859762783253e+04
  -0.200000   -5.287945352330465e+03   +4.036471187625387e+04
  -0.190000   -4.889806374475692e+03   +3.925936172268406e+04
  -0.180000   -4.502835712369356e+03   +3.813072448177066e+04
  -0.170000   -4.127276427409647e+03   +3.697671388698668e+04
  -0.160000   -3.763393988088643e+03   +3.579492429935632e+04
  -0.150000   -3.411479807469399e+03   +3.458255884463026e+04
  -0.140000   -3.071855603785225e+03   +3.333633544607867e+04
  -0.130000   -2.744878846755760e+03   +3.205236184983153e+04
  -0.120000   -2.430949662277367e+03   +3.072596616946040e+04
  -0.110000   -2.130519737231291e+03   +2.935146196686114e+04
  -0.100000   -1.844104034102083e+03   +2.792181409263252e+04
  -0.090000   -1.572296565292333e+03   +2.642814877696832e+04
  -0.080000   -1.315792231486919e+03   +2.485900902023415e+04
  -0.070000   -1.075418088698498e+03   +2.319917224688117e+04
  -0.060000   -8.521800172852949e+02   +2.142766805808798e+04
  -0.050000   -6.473361700268320e+02   +1.951421591742405e+04
  -0.040000   -4.625209432282804e+02   +1.741220441062127e+04
  -0.030000   -2.999756093763418e+02   +1.504293969664571e+04
  -0.020000   -1.630450980664555e+02   +1.225253367022943e+04
  -0.010000   -5.755955560035467e+01   +8.642512977407061e+03
  +0.000000   +0.000000000000000e+00   +0.000000000000000e+00
  +0.010000   +5.738713311021491e+01   +8.599406988452438e+03
  +0.020000   +1.620696980753824e+02   +1.213060452490556e+04
  +0.030000   +2.972875802157753e+02   +1.481892012120417e+04
  +0.040000   +4.570025436726193e+02   +1.706725748716354e+04
  +0.050000   +6.376949997129407e+02   +1.903205481121449e+04
  +0.060000   +8.369698594504295e+02   +2.079371713447734e+04
  +0.070000   +1.053053504185084e+03   +2.240010343642968e+04
  +0.080000   +1.284559486751386e+03   +2.388245275369408e+04
  +0.090000   +1.530362183645570e+03   +2.526249894863821e+04
  +0.100000   +1.789521697979128e+03   +2.655608884448784e+04
  +0.110000   +2.061235988438891e+03   +2.777520001058970e+04
