# dgg/dPsi( Psi ) for F_diiid_conventional, from F_diiid_conventional.npz
#
# Psi = 1 - psi_n: freegs4e's normalised flux is 0 on the AXIS and
# 1 on the boundary, and MEQ's is the other way up.
# The values are d/dpsi in the reference and d/dPsi here, so they
# carry a factor of the span 3.050361321397491e-01.
# Amplitude 2.121824382716063e+00, shape ( 1 - psi_n^1.5 )^2.
#
#   Psi            value                    d/dPsi
  -0.300000   +1.505101065273847e-01   +1.067593996799142e+00
  -0.290000   +1.400433109217939e-01   +1.025835337580842e+00
  -0.280000   +1.299919948709203e-01   +9.844981500656989e-01
  -0.270000   +1.203519417188852e-01   +9.435828232846991e-01
  -0.260000   +1.111189308813074e-01   +9.030897539422290e-01
  -0.250000   +1.022887377675085e-01   +8.630193466296595e-01
  -0.240000   +9.385713370054204e-02   +8.233720140466290e-01
  -0.230000   +8.581988583497258e-02   +7.841481772303802e-01
  -0.220000   +7.817275707231663e-02   +7.453482657934973e-01
  -0.210000   +7.091150597406505e-02   +7.069727181704372e-01
  -0.200000   +6.403188667219294e-02   +6.690219818732427e-01
  -0.190000   +5.752964877706595e-02   +6.314965137568720e-01
  -0.180000   +5.140053728264226e-02   +5.943967802945764e-01
  -0.170000   +4.564029246886933e-02   +5.577232578638077e-01
  -0.160000   +4.024464980116668e-02   +5.214764330431434e-01
  -0.150000   +3.520933982688202e-02   +4.856568029207569e-01
  -0.140000   +3.053008806860300e-02   +4.502648754149861e-01
  -0.130000   +2.620261491419977e-02   +4.153011696075815e-01
  -0.120000   +2.222263550346992e-02   +3.807662160902608e-01
  -0.110000   +1.858585961124743e-02   +3.466605573252092e-01
  -0.100000   +1.528799152683591e-02   +3.129847480202466e-01
  -0.090000   +1.232472992961132e-02   +2.797393555193533e-01
  -0.080000   +9.691767760641786e-03   +2.469249602093820e-01
  -0.070000   +7.384792090154366e-03   +2.145421559437372e-01
  -0.060000   +5.399483980677180e-03   +1.825915504839254e-01
  -0.050000   +3.731518345672809e-03   +1.510737659598928e-01
  -0.040000   +2.376563803470251e-03   +1.199894393501418e-01
  -0.030000   +1.330282526292343e-03   +8.933922298266955e-02
  -0.020000   +5.883300841652863e-04   +5.912378505785142e-02
  -0.010000   +1.463552834845654e-04   +2.934381019444737e-02
  +0.000000   +0.000000000000000e+00   +0.000000000000000e+00
  +0.010000   +1.448990059692844e-04   +2.890692633303634e-02
  +0.020000   +5.766797912156492e-04   +5.737623140399617e-02
  +0.030000   +1.290962377810355e-03   +8.540715895200927e-02
  +0.040000   +2.283359128085017e-03   +1.129989331736790e-01
  +0.050000   +3.549474545661850e-03   +1.401507580086908e-01
  +0.060000   +5.084905069172014e-03   +1.668618163914904e-01
  +0.070000   +6.885238858312702e-03   +1.931312694670375e-01
  +0.080000   +8.946055571873548e-03   +2.189582557685097e-01
  +0.090000   +1.126292613734014e-02   +2.443418903546699e-01
  +0.100000   +1.383141251165958e-02   +2.692812639044567e-01
  +0.110000   +1.664706743272722e-02   +2.937754417661750e-01
  +0.120000   +1.970543416112646e-02   +3.178234629584694e-01
  +0.130000   +2.300204621162513e-02   +3.414243391200658e-01
  +0.140000   +2.653242707389898e-02   +3.645770534050218e-01
  +0.150000   +3.029208992192167e-02   +3.872805593200034e-01
  +0.160000   +3.427653731142113e-02   +4.095337794998122e-01
  +0.170000   +3.848126086476664e-02   +4.313356044171185e-01
  +0.180000   +4.290174094260527e-02   +4.526848910220185e-01
  +0.190000   +4.753344630152435e-02   +4.735804613067003e-01
  +0.200000   +5.237183373696427e-02   +4.940211007901111e-01
  +0.210000   +5.741234771055575e-02   +5.140055569171129e-01
  +0.220000   +6.265041996099602e-02   +5.335325373661501e-01
  +0.230000   +6.808146909751786e-02   +5.526007082589596e-01
  +0.240000   +7.370090017493647e-02   +5.712086922652976e-01
  +0.250000   +7.950410424918782e-02   +5.893550665950674e-01
  +0.260000   +8.548645791219033e-02   +6.070383608695534e-01
  +0.270000   +9.164332280477766e-02   +6.242570548627495e-01
  +0.280000   +9.797004510635485e-02   +6.410095761029604e-01
  +0.290000   +1.044619549998267e-01   +6.572942973239575e-01
  +0.300000   +1.111143661102385e-01   +6.731095337539998e-01
  +0.310000   +1.179225749154421e-01   +6.884535402299250e-01
  +0.320000   +1.248818601269718e-01   +7.033245081223223e-01
  +0.330000   +1.319874820391629e-01   +7.177205620564394e-01
  +0.340000   +1.392346818443892e-01   +7.316397564119974e-01
  +0.350000   +1.466186809121169e-01   +7.450800715834104e-01
  +0.360000   +1.541346800292783e-01   +7.580394099800569e-01
  +0.370000   +1.617778585992559e-01   +7.705155917441717e-01
  +0.380000   +1.695433737965324e-01   +7.825063501616026e-01
  +0.390000   +1.774263596737982e-01   +7.940093267380683e-01
  +0.400000   +1.854219262180256e-01   +8.050220659106322e-01
  +0.410000   +1.935251583516940e-01   +8.155420093608000e-01
  +0.420000   +2.017311148750021e-01   +8.255664898919443e-01
  +0.430000   +2.100348273445025e-01   +8.350927248295464e-01
  +0.440000   +2.184312988831653e-01   +8.441178088980075e-01
  +0.450000   +2.269155029163765e-01   +8.526387065223652e-01
  +0.460000   +2.354823818278437e-01   +8.606522434971411e-01
  +0.470000   +2.441268455287555e-01   +8.681550979575310e-01
  +0.480000   +2.528437699328683e-01   +8.751437905801881e-01
  +0.490000   +2.616279953294090e-01   +8.816146739316849e-01
  +0.500000   +2.704743246448227e-01   +8.875639208722681e-01
  +0.510000   +2.793775215834030e-01   +8.929875119104204e-01
  +0.520000   +2.883323086357360e-01   +8.978812213898358e-01
  +0.530000   +2.973333649426227e-01   +9.022406023742635e-01
  +0.540000   +3.063753240007083e-01   +9.060609700769793e-01
  +0.550000   +3.154527711944116e-01   +9.093373836598625e-01
  +0.560000   +3.245602411368684e-01   +9.120646262016094e-01
  +0.570000   +3.336922148004579e-01   +9.142371826048306e-01
  +0.580000   +3.428431164150044e-01   +9.158492151767457e-01
  +0.590000   +3.520073101088964e-01   +9.168945365768755e-01
  +0.600000   +3.611790962650582e-01   +9.173665797761820e-01
  +0.610000   +3.703527075598740e-01   +9.172583646139576e-01
  +0.620000   +3.795223046486885e-01   +9.165624604693136e-01
  +0.630000   +3.886819714562741e-01   +9.152709444808815e-01
  +0.640000   +3.978257100245065e-01   +9.133753546481010e-01
  +0.650000   +4.069474348622333e-01   +9.108666370261796e-01
  +0.660000   +4.160409667337349e-01   +9.077350860793238e-01
  +0.670000   +4.251000258119444e-01   +9.039702770765571e-01
  +0.680000   +4.341182241103713e-01   +8.995609891928287e-01
  +0.690000   +4.430890570929798e-01   +8.944951177041039e-01
  +0.700000   +4.520058943435177e-01   +8.887595733242284e-01
  +0.710000   +4.608619691542139e-01   +8.823401663044002e-01
  +0.720000   +4.696503668673858e-01   +8.752214723776547e-01
