# dp/dPsi( Psi ) for F_diiid_conventional, from F_diiid_conventional.npz
#
# Psi = 1 - psi_n: freegs4e's normalised flux is 0 on the AXIS and
# 1 on the boundary, and MEQ's is the other way up.
# The values are d/dpsi in the reference and d/dPsi here, so they
# carry a factor of the span 3.050361321397491e-01.
# Amplitude 4.780260380527742e+05, shape ( 1 - psi_n^1.5 )^2.
#
#   Psi            value                    d/dPsi
  -0.300000   +3.390843770872746e+04   +2.405183636760536e+05
  -0.290000   +3.155037222734011e+04   +2.311105509545466e+05
  -0.280000   +2.928591017847585e+04   +2.217976916373141e+05
  -0.270000   +2.711410159128885e+04   +2.125798733691878e+05
  -0.260000   +2.503399560988056e+04   +2.034571855237407e+05
  -0.250000   +2.304464047577328e+04   +1.944297192514051e+05
  -0.240000   +2.114508350989362e+04   +1.854975675293260e+05
  -0.230000   +1.933437109404878e+04   +1.766608252130279e+05
  -0.220000   +1.761154865187638e+04   +1.679195890899753e+05
  -0.210000   +1.597566062924918e+04   +1.592739579351127e+05
  -0.200000   +1.442575047411388e+04   +1.507240325684754e+05
  -0.190000   +1.296086061574330e+04   +1.422699159149650e+05
  -0.180000   +1.158003244337936e+04   +1.339117130663891e+05
  -0.170000   +1.028230628424398e+04   +1.256495313458740e+05
  -0.160000   +9.066721380893592e+03   +1.174834803747585e+05
  -0.150000   +7.932315867891713e+03   +1.094136721420893e+05
  -0.140000   +6.878126747773131e+03   +1.014402210768423e+05
  -0.130000   +5.903189866271598e+03   +9.356324412299937e+04
  -0.120000   +5.006539886782038e+03   +8.578286081762442e+04
  -0.110000   +4.187210264026166e+03   +7.809919337208015e+04
  -0.100000   +3.444233216889985e+03   +7.051236675654954e+04
  -0.090000   +2.776639700398304e+03   +6.302250878801753e+04
  -0.080000   +2.183459376791961e+03   +5.562975022189910e+04
  -0.070000   +1.663720585669389e+03   +4.833422484749015e+04
  -0.060000   +1.216450313153900e+03   +4.113606958744429e+04
  -0.050000   +8.406741600451832e+02   +3.403542460148245e+04
  -0.040000   +5.354163089116224e+02   +2.703243339455838e+04
  -0.030000   +2.996994900776667e+02   +2.012724292971505e+04
  -0.020000   +1.325449464581921e+02   +1.332000374588521e+04
  -0.010000   +3.297239718899937e+01   +6.610870080901202e+03
  +0.000000   +0.000000000000000e+00   +0.000000000000000e+00
