# dgg/dPsi( Psi ) for F_diiid_conventional, from F_diiid_conventional_shaped.npz
#
# Psi = 1 - psi_n: freegs4e's normalised flux is 0 on the AXIS and
# 1 on the boundary, and MEQ's is the other way up.
# The values are d/dpsi in the reference and d/dPsi here, so they
# carry a factor of the span 3.050312803227917e-01.
# Amplitude 2.121420144975519e+00, shape ( 1 - psi_n^1.5 )^2.
#
#   Psi            value                    d/dPsi
  -0.300000   +1.504790386958187e-01   +1.067373627341976e+00
  -0.290000   +1.400144036138659e-01   +1.025623587817203e+00
  -0.280000   +1.299651623246232e-01   +9.842949329966996e-01
  -0.270000   +1.203270990426010e-01   +9.433880518311487e-01
  -0.260000   +1.110959940546180e-01   +9.029033409430506e-01
  -0.250000   +1.022676236420229e-01   +8.628412048402615e-01
  -0.240000   +9.383776000073973e-02   +8.232020561372317e-01
  -0.230000   +8.580217115906377e-02   +7.839863157842949e-01
  -0.220000   +7.815662089312039e-02   +7.451944133053560e-01
  -0.210000   +7.089686863990509e-02   +7.068267870443712e-01
  -0.200000   +6.401866940781195e-02   +6.688838844210094e-01
  -0.190000   +5.751777368455892e-02   +6.313661621959266e-01
  -0.180000   +5.138992734240939e-02   +5.942740867460857e-01
  -0.170000   +4.563087154058910e-02   +5.576081343506063e-01
  -0.160000   +4.023634262478960e-02   +5.213687914876278e-01
  -0.150000   +3.520207202364588e-02   +4.855565551427163e-01
  -0.140000   +3.052378614206999e-02   +4.501719331293667e-01
  -0.130000   +2.619720625131643e-02   +4.152154444221823e-01
  -0.120000   +2.221804837565038e-02   +3.806876195033574e-01
  -0.110000   +1.858202317548086e-02   +3.465890007231043e-01
  -0.100000   +1.528483582681884e-02   +3.129201426747414e-01
  -0.090000   +1.232218589690558e-02   +2.796816125851400e-01
  -0.080000   +9.689767215859039e-03   +2.468739907213508e-01
  -0.070000   +7.383267744167905e-03   +2.144978708141971e-01
  -0.060000   +5.398369435862049e-03   +1.825538604997330e-01
  -0.050000   +3.730748097175060e-03   +1.510425817794867e-01
  -0.040000   +2.376073240506370e-03   +1.199646715004775e-01
  -0.030000   +1.330007933479836e-03   +8.932078185605088e-02
  -0.020000   +5.882086428854827e-04   +5.911158090865439e-02
  -0.010000   +1.463250732787460e-04   +2.933775313573111e-02
  +0.000000   +0.000000000000000e+00   +0.000000000000000e+00
  +0.010000   +1.448690963637742e-04   +2.890095945453811e-02
  +0.020000   +5.765607547533520e-04   +5.736438797942969e-02
  +0.030000   +1.290695901341517e-03   +8.538952946990956e-02
  +0.040000   +2.282887804142507e-03   +1.129756082827200e-01
  +0.050000   +3.548741874083332e-03   +1.401218285218668e-01
  +0.060000   +5.083855458764694e-03   +1.668273732904519e-01
  +0.070000   +6.883817628562243e-03   +1.930914039065887e-01
  +0.080000   +8.944208954698798e-03   +2.189130590812762e-01
  +0.090000   +1.126060127889542e-02   +2.442914540559441e-01
  +0.100000   +1.382855747418637e-02   +2.692256796972305e-01
  +0.110000   +1.664363119645711e-02   +2.937148015463679e-01
  +0.120000   +1.970136662623743e-02   +3.177578588203638e-01
  +0.130000   +2.299729820025324e-02   +3.413538633619586e-01
  +0.140000   +2.652695033220776e-02   +3.645017985351041e-01
  +0.150000   +3.028583712223140e-02   +3.872006180624803e-01
  +0.160000   +3.426946205440069e-02   +4.094492448012751e-01
  +0.170000   +3.847331768169025e-02   +4.312465694531840e-01
  +0.180000   +4.289288529767720e-02   +4.525914492042480e-01
  +0.190000   +4.752363459427413e-02   +4.734827062898161e-01
  +0.200000   +5.236102330471568e-02   +4.939191264795249e-01
  +0.210000   +5.740049683097275e-02   +5.138994574767848e-01
  +0.220000   +6.263748785470898e-02   +5.334224072267973e-01
  +0.230000   +6.806741593083365e-02   +5.524866421266343e-01
  +0.240000   +7.368568706263641e-02   +5.710907851303565e-01
  +0.250000   +7.948769325741718e-02   +5.892334137415549e-01
  +0.260000   +8.546881206144405e-02   +6.069130578850249e-01
  +0.270000   +9.162440607298644e-02   +6.241281976485609e-01
  +0.280000   +9.794982243207667e-02   +6.408772608850523e-01
  +0.290000   +1.044403922855488e-01   +6.571586206641657e-01
  +0.300000   +1.110914302257951e-01   +6.729705925619256e-01
  +0.310000   +1.178982337015540e-01   +6.883114317754009e-01
  +0.320000   +1.248560823989136e-01   +7.031793300485123e-01
  +0.330000   +1.319602375905646e-01   +7.175724123936169e-01
  +0.340000   +1.392059414511791e-01   +7.314887335920445e-01
  +0.350000   +1.465884163366137e-01   +7.449262744550900e-01
  +0.360000   +1.541028640244391e-01   +7.578829378251100e-01
  +0.370000   +1.617444649130907e-01   +7.703565442942989e-01
  +0.380000   +1.695083771766923e-01   +7.823448276163927e-01
