# dp/dPsi( Psi ) for F_diiid_conventional, from F_diiid_conventional_shaped.npz
#
# Psi = 1 - psi_n: freegs4e's normalised flux is 0 on the AXIS and
# 1 on the boundary, and MEQ's is the other way up.
# The values are d/dpsi in the reference and d/dPsi here, so they
# carry a factor of the span 3.050312803227917e-01.
# Amplitude 4.779349672897471e+05, shape ( 1 - psi_n^1.5 )^2.
#
#   Psi            value                    d/dPsi
  -0.300000   +3.390143843369068e+04   +2.404687166179017e+05
  -0.290000   +3.154385969690067e+04   +2.310628458280548e+05
  -0.280000   +2.927986507130216e+04   +2.217519088424939e+05
  -0.270000   +2.710850478213938e+04   +2.125359932879592e+05
  -0.260000   +2.502882816978649e+04   +2.034151885195754e+05
  -0.250000   +2.303988367222488e+04   +1.943895856689601e+05
  -0.240000   +2.114071880703020e+04   +1.854592776940660e+05
  -0.230000   +1.933038015285259e+04   +1.766243594308379e+05
  -0.220000   +1.760791333037036e+04   +1.678849276467616e+05
  -0.210000   +1.597236298269882e+04   +1.592410810963931e+05
  -0.200000   +1.442277275523318e+04   +1.506929205789565e+05
  -0.190000   +1.295818527490507e+04   +1.422405489981078e+05
  -0.180000   +1.157764212882986e+04   +1.338840714239623e+05
  -0.170000   +1.028018384232218e+04   +1.256235951574926e+05
  -0.160000   +9.064849856255039e+03   +1.174592297974101e+05
  -0.150000   +7.930678503737255e+03   +1.093910873096448e+05
  -0.140000   +6.876706986082574e+03   +1.014192820995527e+05
  -0.130000   +5.901971348042499e+03   +9.354393108697643e+04
  -0.120000   +5.005506452273754e+03   +8.576515378430540e+04
  -0.110000   +4.186345953009349e+03   +7.808307237767582e+04
  -0.100000   +3.443522268901673e+03   +7.049781181147472e+04
  -0.090000   +2.776066555002811e+03   +6.300949987630345e+04
  -0.080000   +2.183008673847724e+03   +5.561826730058686e+04
  -0.070000   +1.663377165601986e+03   +4.832424784600447e+04
  -0.060000   +1.216199217235430e+03   +4.112757840694674e+04
  -0.050000   +8.405006306802206e+02   +3.402839911420328e+04
  -0.040000   +5.353057899299624e+02   +2.702685344310597e+04
  -0.030000   +2.996376270340946e+02   +2.012308832636213e+04
  -0.020000   +1.325175869395093e+02   +1.331725427183072e+04
  -0.010000   +3.296559112855712e+01   +6.609505485506802e+03
  +0.000000   +0.000000000000000e+00   +0.000000000000000e+00
  +0.010000   +3.263757393645125e+01   +6.511100191191207e+03
  +0.020000   +1.298934329987590e+02   +1.292362899328529e+04
  +0.030000   +2.907810151844237e+02   +1.923741606336027e+04
  +0.040000   +5.143120331836024e+02   +2.545228665666517e+04
  +0.050000   +7.994964295624455e+02   +3.156806146570783e+04
  +0.060000   +1.145342330299473e+03   +3.758455645170027e+04
  +0.070000   +1.550855996596302e+03   +4.350158266791219e+04
  +0.080000   +2.015041774879518e+03   +4.931894607445409e+04
  +0.090000   +2.536902044905336e+03   +5.503644734397475e+04
  +0.100000   +3.115437165873581e+03   +6.065388165772352e+04
  +0.110000   +3.749645420451656e+03   +6.617103849138656e+04
  +0.120000   +4.438522956603092e+03   +7.158770139006256e+04
  +0.130000   +5.181063727108819e+03   +7.690364773169869e+04
  +0.140000   +5.976259426661929e+03   +8.211864847825292e+04
  +0.150000   +6.823099426409619e+03   +8.723246791379788e+04
  +0.160000   +7.720570705807185e+03   +9.224486336871631e+04
  +0.170000   +8.667657781640832e+03   +9.715558492907666e+04
  +0.180000   +9.663342634065915e+03   +1.019643751302021e+05
  +0.190000   +1.070660462949757e+04   +1.066709686333707e+05
  +0.200000   +1.179642044017912e+04   +1.112750918844962e+05
  +0.210000   +1.293176396024220e+04   +1.157764627535487e+05
  +0.220000   +1.411160621805905e+04   +1.201747901533666e+05
  +0.230000   +1.533491528467408e+04   +1.244697736364064e+05
  +0.240000   +1.660065617808587e+04   +1.286611029678436e+05
  +0.250000   +1.790779076313501e+04   +1.327484576733129e+05
  +0.260000   +1.925527764673470e+04   +1.367315065594171e+05
  +0.270000   +2.064207206816197e+04   +1.406099072049757e+05
  +0.280000   +2.206712578410597e+04   +1.443833054208010e+05
  +0.290000   +2.352938694814655e+04   +1.480513346755872e+05
  +0.300000   +2.502779998431160e+04   +1.516136154852802e+05
  +0.310000   +2.656130545433348e+04   +1.550697547630441e+05
  +0.320000   +2.812883991819516e+04   +1.584193451266771e+05
  +0.330000   +2.972933578752339e+04   +1.616619641600160e+05
  +0.340000   +3.136172117135030e+04   +1.647971736245423e+05
  +0.350000   +3.302491971372496e+04   +1.678245186170206e+05
  +0.360000   +3.471785042261233e+04   +1.707435266685852e+05
  +0.370000   +3.643942748946967e+04   +1.735537067802225e+05
  +0.380000   +3.818856009883673e+04   +1.762545483890738e+05
  +0.390000   +3.996415222721754e+04   +1.788455202593932e+05
  +0.400000   +4.176510243046707e+04   +1.813260692913417e+05
  +0.410000   +4.359030361882367e+04   +1.836956192400482e+05
  +0.420000   +4.543864281864913e+04   +1.859535693365388e+05
  +0.430000   +4.730900091984827e+04   +1.880992928011835e+05
  +0.440000   +4.920025240784333e+04   +1.901321352392436e+05
  +0.450000   +5.111126507886584e+04   +1.920514129068824e+05
  +0.460000   +5.304089973720784e+04   +1.938564108346265e+05
  +0.470000   +5.498800987293429e+04   +1.955463807936842e+05
  +0.480000   +5.695144131840601e+04   +1.971205390887345e+05
  +0.490000   +5.893003188178656e+04   +1.985780641587367e+05
  +0.500000   +6.092261095551198e+04   +1.999180939649498e+05
  +0.510000   +6.292799909747962e+04   +2.011397231426289e+05
  +0.520000   +6.494500758246293e+04   +2.022419998897295e+05
  +0.530000   +6.697243792097367e+04   +2.032239225623155e+05
