# dgg/dPsi( Psi ) for G_mastu_simple, from G_mastu_simple.npz
#
# Psi = 1 - psi_n: freegs4e's normalised flux is 0 on the AXIS and
# 1 on the boundary, and MEQ's is the other way up.
# The values are d/dpsi in the reference and d/dPsi here, so they
# carry a factor of the span 8.333814835308873e-02.
# Amplitude 4.271563518996171e-01, shape ( 1 - psi_n^1.2 )^1.5.
#
#   Psi            value                    d/dPsi
  -0.300000   -8.013032876043368e-03   +4.107844174470954e-02
  -0.290000   -7.606089672752629e-03   +4.030863312304810e-02
  -0.280000   -7.206892402094120e-03   +3.952916636199291e-02
  -0.270000   -6.815540393501351e-03   +3.873948340744480e-02
  -0.260000   -6.432138821420699e-03   +3.793897216509841e-02
  -0.250000   -6.056799282066441e-03   +3.712695902374209e-02
  -0.240000   -5.689640451573269e-03   +3.630270000545086e-02
  -0.230000   -5.330788840812011e-03   +3.546537022256225e-02
  -0.220000   -4.980379665772598e-03   +3.461405122939316e-02
  -0.210000   -4.638557857126592e-03   +3.374771573288275e-02
  -0.200000   -4.305479238738700e-03   +3.286520895763215e-02
  -0.190000   -3.981311913043681e-03   +3.196522572773094e-02
  -0.180000   -3.666237902120794e-03   +3.104628200100003e-02
  -0.170000   -3.360455108129370e-03   +3.010667912576660e-02
  -0.160000   -3.064179677229215e-03   +2.914445841524855e-02
  -0.150000   -2.777648879817297e-03   +2.815734263637867e-02
  -0.140000   -2.501124660955817e-03   +2.714265950109824e-02
  -0.130000   -2.234898074797917e-03   +2.609723991118239e-02
  -0.120000   -1.979294906431168e-03   +2.501727998654478e-02
  -0.110000   -1.734682922229848e-03   +2.389814979257594e-02
  -0.100000   -1.501481407972882e-03   +2.273412126522259e-02
  -0.090000   -1.280174012392716e-03   +2.151796932382968e-02
  -0.080000   -1.071326528112456e-03   +2.024036560534173e-02
  -0.070000   -8.756123494761255e-04   +1.888891579048750e-02
  -0.060000   -6.938504707641938e-04   +1.744654564518592e-02
  -0.050000   -5.270652880909299e-04   +1.588860056121905e-02
  -0.040000   -3.765875374777801e-04   +1.417712922422033e-02
  -0.030000   -2.442420774504850e-04   +1.224805860086331e-02
  -0.020000   -1.327523712766556e-04   +9.976092002514885e-03
  -0.010000   -4.686536170785782e-05   +7.036789852292421e-03
  +0.000000   +0.000000000000000e+00   +0.000000000000000e+00
  +0.010000   +4.672497420342547e-05   +7.001692677843061e-03
  +0.020000   +1.319581943078675e-04   +9.876816505358368e-03
  +0.030000   +2.420534667571384e-04   +1.206566041652702e-02
  +0.040000   +3.720944209391433e-04   +1.389627121256188e-02
  +0.050000   +5.192153849890930e-04   +1.549602187626770e-02
  +0.060000   +6.814662620758246e-04   +1.693037871112675e-02
  +0.070000   +8.574029604053621e-04   +1.823830880715203e-02
  +0.080000   +1.045896625746237e-03   +1.944524718960480e-02
  +0.090000   +1.246030768175959e-03   +2.056888970951354e-02
  +0.100000   +1.457040117581015e-03   +2.162213895263746e-02
  +0.110000   +1.678271646747169e-03   +2.261474713325205e-02
  +0.120000   +1.909158372546152e-03   +2.355429818937121e-02
  +0.130000   +2.149200996824503e-03   +2.444682763576675e-02
  +0.140000   +2.397954600453486e-03   +2.529723127910685e-02
  +0.150000   +2.655018727682682e-03   +2.610954459907151e-02
  +0.160000   +2.920029822065125e-03   +2.688713957793821e-02
  +0.170000   +3.192655339882454e-03   +2.763286698092570e-02
  +0.180000   +3.472589089281636e-03   +2.834916150729623e-02
  +0.190000   +3.759547483800313e-03   +2.903812101331997e-02
  +0.200000   +4.053266490518461e-03   +2.970156721899366e-02
  +0.210000   +4.353499114391922e-03   +3.034109292784394e-02
  +0.220000   +4.660013302374928e-03   +3.095809924908272e-02
  +0.230000   +4.972590180391465e-03   +3.155382529123718e-02
  +0.240000   +5.291022557235373e-03   +3.212937210570829e-02
  +0.250000   +5.615113644736095e-03   +3.268572218184660e-02
  +0.260000   +5.944675954771366e-03   +3.322375546000018e-02
