# dp/dPsi( Psi ) for G_mastu_simple, from G_mastu_simple.npz
#
# Psi = 1 - psi_n: freegs4e's normalised flux is 0 on the AXIS and
# 1 on the boundary, and MEQ's is the other way up.
# The values are d/dpsi in the reference and d/dPsi here, so they
# carry a factor of the span 8.333814835308873e-02.
# Amplitude 7.057167288365936e+05, shape ( 1 - psi_n^2 )^2.
#
#   Psi            value                    d/dPsi
  -0.300000   +2.800092902343161e+04   +2.110214940896295e+05
  -0.290000   +2.593828272652490e+04   +2.015382304906918e+05
  -0.280000   +2.396955746216319e+04   +1.922370523281258e+05
  -0.270000   +2.209293943355783e+04   +1.831165480869209e+05
  -0.260000   +2.030662895907028e+04   +1.741753062520663e+05
  -0.250000   +1.860884047221204e+04   +1.654119153085515e+05
  -0.240000   +1.699780252164481e+04   +1.568249637413658e+05
  -0.230000   +1.547175777118033e+04   +1.484130400354986e+05
  -0.220000   +1.402896299978047e+04   +1.401747326759392e+05
  -0.210000   +1.266768910155722e+04   +1.321086301476771e+05
  -0.200000   +1.138622108577264e+04   +1.242133209357016e+05
  -0.190000   +1.018285807683893e+04   +1.164873935250020e+05
  -0.180000   +9.055913314318381e+03   +1.089294364005677e+05
  -0.170000   +8.003714152923390e+03   +1.015380380473881e+05
  -0.160000   +7.024602062516473e+03   +9.431178695045266e+04
  -0.150000   +6.116932628110225e+03   +8.724927159475055e+04
  -0.140000   +5.279075549867383e+03   +8.034908046527128e+04
  -0.130000   +4.509414643100757e+03   +7.360980204700412e+04
  -0.120000   +3.806347838273304e+03   +6.703002482493866e+04
  -0.110000   +3.168287180998018e+03   +6.060833728406383e+04
  -0.100000   +2.593658832038092e+03   +5.434332790936950e+04
  -0.090000   +2.080903067306740e+03   +4.823358518584466e+04
  -0.080000   +1.628474277867333e+03   +4.227769759847882e+04
  -0.070000   +1.234840969933334e+03   +3.647425363226134e+04
  -0.060000   +8.984857648683146e+02   +3.082184177218163e+04
  -0.050000   +6.179053991859449e+02   +2.531905050322895e+04
  -0.040000   +3.916107245500131e+02   +1.996446831039279e+04
  -0.030000   +2.181267077744028e+02   +1.475668367866240e+04
  -0.020000   +9.599243082311298e+01   +9.694285093027254e+03
  -0.010000   +2.376109081024282e+01   +4.775861038476664e+03
  +0.000000   +0.000000000000000e+00   +0.000000000000000e+00
  +0.010000   +2.329058580669855e+01   +4.634709537413372e+03
  +0.020000   +9.222839079475881e+01   +9.129679088774084e+03
  +0.030000   +2.054230726787067e+02   +1.348632016909275e+04
  +0.040000   +3.614984043231754e+02   +1.770604429338002e+04
  +0.050000   +5.590922737429044e+02   +2.179026297664652e+04
  +0.060000   +7.968566841027392e+02   +2.574038773390290e+04
  +0.070000   +1.073457753717632e+03   +2.955783008015978e+04
  +0.080000   +1.387575716052641e+03   +3.324400153042781e+04
  +0.090000   +1.737904919722928e+03   +3.680031359971757e+04
  +0.100000   +2.123153828493766e+03   +4.022817780303975e+04
  +0.110000   +2.542045021280534e+03   +4.352900565540497e+04
  +0.120000   +2.993315192148707e+03   +4.670420867182380e+04
  +0.130000   +3.475715150313886e+03   +4.975519836730696e+04
  +0.140000   +3.988009820141765e+03   +5.268338625686508e+04
  +0.150000   +4.528978241148142e+03   +5.549018385550875e+04
  +0.160000   +5.097413567998929e+03   +5.817700267824862e+04
  +0.170000   +5.692123070510135e+03   +6.074525424009530e+04
  +0.180000   +6.311928133647885e+03   +6.319635005605943e+04
  +0.190000   +6.955664257528411e+03   +6.553170164115167e+04
  +0.200000   +7.622181057418046e+03   +6.775272051038267e+04
  +0.210000   +8.310342263733230e+03   +6.986081817876302e+04
  +0.220000   +9.019025722040511e+03   +7.185740616130337e+04
  +0.230000   +9.747123393056539e+03   +7.374389597301434e+04
  +0.240000   +1.049354135264807e+04   +7.552169912890656e+04
  +0.250000   +1.125719979183198e+04   +7.719222714399069e+04
  +0.260000   +1.203703301677523e+04   +7.875689153327735e+04
  +0.270000   +1.283198944879490e+04   +8.021710381177715e+04
  +0.280000   +1.364103162435818e+04   +8.157427549450075e+04
  +0.290000   +1.446313619508236e+04   +8.282981809645878e+04
  +0.300000   +1.529729392773484e+04   +8.398514313266186e+04
  +0.310000   +1.614250970423312e+04   +8.504166211812066e+04
  +0.320000   +1.699780252164481e+04   +8.600078656784576e+04
  +0.330000   +1.786220549218763e+04   +8.686392799684782e+04
  +0.340000   +1.873476584322940e+04   +8.763249792013748e+04
  +0.350000   +1.961454491728804e+04   +8.830790785272534e+04
  +0.360000   +2.050061817203160e+04   +8.889156930962209e+04
  +0.370000   +2.139207518027822e+04   +8.938489380583832e+04
  +0.380000   +2.228801962999614e+04   +8.978929285638465e+04
  +0.390000   +2.318756932430371e+04   +9.010617797627175e+04
  +0.400000   +2.408985618146941e+04   +9.033696068051025e+04
  +0.410000   +2.499402623491177e+04   +9.048305248411075e+04
  +0.420000   +2.589923963319952e+04   +9.054586490208392e+04
  +0.430000   +2.680467064005140e+04   +9.052680944944038e+04
  +0.440000   +2.770950763433630e+04   +9.042729764119076e+04
  +0.450000   +2.861295311007323e+04   +9.024874099234570e+04
  +0.460000   +2.951422367643127e+04   +8.999255101791580e+04
  +0.470000   +3.041255005772963e+04   +8.966013923291174e+04
  +0.480000   +3.130717709343763e+04   +8.925291715234412e+04
  +0.490000   +3.219736373817467e+04   +8.877229629122360e+04
  +0.500000   +3.308238306171029e+04   +8.821968816456079e+04
  +0.510000   +3.396152224896412e+04   +8.759650428736633e+04
  +0.520000   +3.483408260000589e+04   +8.690415617465085e+04
  +0.530000   +3.569937953005544e+04   +8.614405534142499e+04
  +0.540000   +3.655674256948272e+04   +8.531761330269939e+04
  +0.550000   +3.740551536380780e+04   +8.442624157348467e+04
  +0.560000   +3.824505567370082e+04   +8.347135166879145e+04
  +0.570000   +3.907473537498206e+04   +8.245435510363040e+04
  +0.580000   +3.989394045862191e+04   +8.137666339301213e+04
  +0.590000   +4.070207103074082e+04   +8.023968805194726e+04
  +0.600000   +4.149854131260940e+04   +7.904484059544645e+04
  +0.610000   +4.228277964064834e+04   +7.779353253852032e+04
  +0.620000   +4.305422846642843e+04   +7.648717539617952e+04
  +0.630000   +4.381234435667058e+04   +7.512718068343464e+04
  +0.640000   +4.455659799324581e+04   +7.371495991529633e+04
  +0.650000   +4.528647417317523e+04   +7.225192460677527e+04
  +0.660000   +4.600147180863006e+04   +7.073948627288207e+04
  +0.670000   +4.670110392693166e+04   +6.917905642862731e+04
  +0.680000   +4.738489767055144e+04   +6.757204658902167e+04
  +0.690000   +4.805239429711095e+04   +6.591986826907579e+04
  +0.700000   +4.870314917938185e+04   +6.422393298380026e+04
  +0.710000   +4.933673180528590e+04   +6.248565224820576e+04
  +0.720000   +4.995272577789494e+04   +6.070643757730289e+04
  +0.730000   +5.055072881543097e+04   +5.888770048610230e+04
  +0.740000   +5.113035275126604e+04   +5.703085248961463e+04
  +0.750000   +5.169122353392233e+04   +5.513730510285049e+04
  +0.760000   +5.223298122707216e+04   +5.320846984082053e+04
  +0.770000   +5.275528000953791e+04   +5.124575821853538e+04
  +0.780000   +5.325778817529205e+04   +4.925058175100567e+04
  +0.790000   +5.374018813345722e+04   +4.722435195324204e+04
  +0.800000   +5.420217640830614e+04   +4.516848034025511e+04
  +0.810000   +5.464346363926162e+04   +4.308437842705553e+04
  +0.820000   +5.506377458089658e+04   +4.097345772865391e+04
  +0.830000   +5.546284810293407e+04   +3.883712976006091e+04
  +0.840000   +5.584043719024720e+04   +3.667680603628714e+04
  +0.850000   +5.619630894285924e+04   +3.449389807234325e+04
  +0.860000   +5.653024457594352e+04   +3.228981738323990e+04
  +0.870000   +5.684203941982354e+04   +3.006597548398766e+04
  +0.880000   +5.713150291997282e+04   +2.782378388959718e+04
  +0.890000   +5.739845863701506e+04   +2.556465411507911e+04
  +0.900000   +5.764274424672402e+04   +2.328999767544407e+04
  +0.910000   +5.786421154002359e+04   +2.100122608570270e+04
  +0.920000   +5.806272642298775e+04   +1.869975086086564e+04
  +0.930000   +5.823816891684061e+04   +1.638698351594351e+04
  +0.940000   +5.839043315795637e+04   +1.406433556594695e+04
  +0.950000   +5.851942739785933e+04   +1.173321852588660e+04
  +0.960000   +5.862507400322392e+04   +9.395043910773073e+03
  +0.970000   +5.870730945587466e+04   +7.051223235617021e+03
  +0.980000   +5.876608435278617e+04   +4.703168015429070e+03
  +0.990000   +5.880136340608318e+04   +2.352289765219851e+03
  +1.000000   +5.881312544304052e+04   +0.000000000000000e+00
