# dgg/dPsi( Psi ) for G_mastu_simple, from G_mastu_simple_shaped.npz
#
# Psi = 1 - psi_n: freegs4e's normalised flux is 0 on the AXIS and
# 1 on the boundary, and MEQ's is the other way up.
# The values are d/dpsi in the reference and d/dPsi here, so they
# carry a factor of the span 8.466945076604711e-02.
# Amplitude 4.373990692388682e-01, shape ( 1 - psi_n^1.2 )^1.5.
#
#   Psi            value                    d/dPsi
  -0.300000   -8.336251451894820e-03   +4.273540679705784e-02
  -0.290000   -7.912893539634983e-03   +4.193454670584416e-02
  -0.280000   -7.497594004665069e-03   +4.112363889864212e-02
  -0.270000   -7.090456183031131e-03   +4.030210281134246e-02
  -0.260000   -6.691589491560092e-03   +3.946930165983099e-02
  -0.250000   -6.301110027879113e-03   +3.862453466170383e-02
  -0.240000   -5.919141255115756e-03   +3.776702782948920e-02
  -0.230000   -5.545814787160410e-03   +3.689592300235332e-02
  -0.220000   -5.181271294157555e-03   +3.601026468762846e-02
  -0.210000   -4.825661552790613e-03   +3.510898415473503e-02
  -0.200000   -4.479147672330633e-03   +3.419088004855016e-02
  -0.190000   -4.141904535894594e-03   +3.325459454679273e-02
  -0.180000   -3.814121507715236e-03   +3.229858374605423e-02
  -0.170000   -3.496004472653958e-03   +3.132108047681308e-02
  -0.160000   -3.187778295473750e-03   +3.032004704550385e-02
  -0.150000   -2.889689817254862e-03   +2.929311436319897e-02
  -0.140000   -2.602011549035110e-03   +2.823750235080057e-02
  -0.130000   -2.325046285105275e-03   +2.714991407940708e-02
  -0.120000   -2.059132951618698e-03   +2.602639223330754e-02
  -0.110000   -1.804654149398183e-03   +2.486212012202942e-02
  -0.100000   -1.562046076789274e-03   +2.365113863083806e-02
  -0.090000   -1.331811891274342e-03   +2.238593124382340e-02
  -0.080000   -1.114540207632434e-03   +2.105679332339467e-02
  -0.070000   -9.109315826520864e-04   +1.965083060546751e-02
  -0.060000   -7.218380460660187e-04   +1.815028013925288e-02
  -0.050000   -5.483253146542557e-04   +1.652949283323548e-02
  -0.040000   -3.917778018171267e-04   +1.474898654571145e-02
  -0.030000   -2.540939746856211e-04   +1.274210375444702e-02
  -0.020000   -1.381071518009221e-04   +1.037849372724212e-02
  -0.010000   -4.875575148939289e-05   +7.320630094783347e-03
  +0.000000   +0.000000000000000e+00   +0.000000000000000e+00
  +0.010000   +4.860970122905376e-05   +7.284117219323218e-03
  +0.020000   +1.372809404260861e-04   +1.027521379315090e-02
  +0.030000   +2.518170828579848e-04   +1.255234824582528e-02
  +0.040000   +3.871034481924554e-04   +1.445679967418821e-02
  +0.050000   +5.401587730785231e-04   +1.612107885527803e-02
  +0.060000   +7.089543003911897e-04   +1.761329278127820e-02
  +0.070000   +8.919876885700965e-04   +1.897398034248429e-02
  +0.080000   +1.088084549231765e-03   +2.022960252683223e-02
  +0.090000   +1.296291424357840e-03   +2.139856897597841e-02
  +0.100000   +1.515812175433286e-03   +2.249430272224183e-02
  +0.110000   +1.745967434340310e-03   +2.352694935115431e-02
  +0.120000   +1.986167347773762e-03   +2.450439871107382e-02
  +0.130000   +2.235892477585673e-03   +2.543292976897303e-02
  +0.140000   +2.494679958118275e-03   +2.631763581176054e-02
  +0.150000   +2.762113180594032e-03   +2.716271509668325e-02
  +0.160000   +3.037813923931645e-03   +2.797167562035009e-02
  +0.170000   +3.321436230726731e-03   +2.874748313818245e-02
  +0.180000   +3.612661558385134e-03   +2.949267055695529e-02
  +0.190000   +3.911194881528183e-03   +3.020942035334736e-02
  +0.200000   +4.216761517043134e-03   +3.089962772936306e-02
  +0.210000   +4.529104506943253e-03   +3.156494973682245e-02
  +0.220000   +4.847982437949743e-03   +3.220684400093219e-02
  +0.230000   +5.173167607348517e-03   +3.282659961165593e-02
  +0.240000   +5.504444466542695e-03   +3.342536203307474e-02
  +0.250000   +5.841608289594186e-03   +3.400415338482816e-02
  +0.260000   +6.184464025745602e-03   +3.456388910107424e-02
  +0.270000   +6.532825303655032e-03   +3.510539172340617e-02
  +0.280000   +6.886513561690941e-03   +3.562940240369983e-02
  +0.290000   +7.245357283698243e-03   +3.613659056030410e-02
  +0.300000   +7.609191323563723e-03   +3.662756203239494e-02
  +0.310000   +7.977856304969414e-03   +3.710286600314606e-02
  +0.320000   +8.351198085134195e-03   +3.756300090597504e-02
  +0.330000   +8.729067273260858e-03   +3.800841948481951e-02
  +0.340000   +9.111318795940425e-03   +3.843953314583316e-02
  +0.350000   +9.497811503002966e-03   +3.885671571164878e-02
  +0.360000   +9.888407808308266e-03   +3.926030666866457e-02
  +0.370000   +1.028297336078873e-02   +3.965061398136920e-02
  +0.380000   +1.068137674172905e-02   +4.002791653455544e-02
  +0.390000   +1.108348918482066e-02   +4.039246625364985e-02
  +0.400000   +1.148918431598645e-02   +4.074448994475417e-02
  +0.410000   +1.189833791035094e-02   +4.108419088892465e-02
  +0.420000   +1.231082766404625e-02   +4.141175021938209e-02
  +0.430000   +1.272653297880573e-02   +4.172732810549259e-02
  +0.440000   +1.314533475751537e-02   +4.203106476328568e-02
  +0.450000   +1.356711520907222e-02   +4.232308130882371e-02
  +0.460000   +1.399175766104757e-02   +4.260348046777820e-02
  +0.470000   +1.441914637877286e-02   +4.287234715199995e-02
  +0.480000   +1.484916638956266e-02   +4.312974891160900e-02
  +0.490000   +1.528170331086396e-02   +4.337573626910245e-02
  +0.500000   +1.571664318117687e-02   +4.361034294012919e-02
  +0.510000   +1.615387229262911e-02   +4.383358594385049e-02
  +0.520000   +1.659327702410808e-02   +4.404546560415409e-02
  +0.530000   +1.703474367385852e-02   +4.424596544136752e-02
  +0.540000   +1.747815829044221e-02   +4.443505195248296e-02
  +0.550000   +1.792340650092788e-02   +4.461267427621869e-02
  +0.560000   +1.837037333513392e-02   +4.477876373745227e-02
  +0.570000   +1.881894304468236e-02   +4.493323326362226e-02
  +0.580000   +1.926899891553776e-02   +4.507597666354832e-02
  +0.590000   +1.972042307259772e-02   +4.520686775670114e-02
  +0.600000   +2.017309627476816e-02   +4.532575933818581e-02
  +0.610000   +2.062689769879368e-02   +4.543248196149074e-02
  +0.620000   +2.108170470991551e-02   +4.552684251728508e-02
  +0.630000   +2.153739261719067e-02   +4.560862258207905e-02
  +0.640000   +2.199383441101810e-02   +4.567757650521299e-02
  +0.650000   +2.245090048007113e-02   +4.573342919619072e-02
  +0.660000   +2.290845830441772e-02   +4.577587356652813e-02
  +0.670000   +2.336637212110542e-02   +4.580456757068228e-02
  +0.680000   +2.382450255787615e-02   +4.581913077877621e-02
  +0.690000   +2.428270622993268e-02   +4.581914039911335e-02
  +0.700000   +2.474083529376961e-02   +4.580412665005349e-02
  +0.710000   +2.519873695096576e-02   +4.577356735759754e-02
  +0.720000   +2.565625289345727e-02   +4.572688162552494e-02
  +0.730000   +2.611321868009752e-02   +4.566342238714204e-02
  +0.740000   +2.656946303216756e-02   +4.558246759889614e-02
  +0.750000   +2.702480703279947e-02   +4.548320977250682e-02
  +0.760000   +2.747906321184228e-02   +4.536474345857262e-02
  +0.770000   +2.793203449330058e-02   +4.522605018335012e-02
  +0.780000   +2.838351297678244e-02   +4.506598019084659e-02
  +0.790000   +2.883327851695058e-02   +4.488323013893618e-02
  +0.800000   +2.928109705513284e-02   +4.467631561789963e-02
  +0.810000   +2.972671864408435e-02   +4.444353696810392e-02
  +0.820000   +3.016987508904819e-02   +4.418293631779563e-02
  +0.830000   +3.061027710371140e-02   +4.389224296013857e-02
  +0.840000   +3.104761084533890e-02   +4.356880301015054e-02
  +0.850000   +3.148153364454631e-02   +4.320948751441747e-02
  +0.860000   +3.191166867432889e-02   +4.281057047365978e-02
  +0.870000   +3.233759819786697e-02   +4.236756396763398e-02
  +0.880000   +3.275885487478215e-02   +4.187499065245024e-02
  +0.890000   +3.317491035540907e-02   +4.132606231541583e-02
  +0.900000   +3.358515998834648e-02   +4.071221303050512e-02
  +0.910000   +3.398890178780607e-02   +4.002239886743007e-02
  +0.920000   +3.438530661592158e-02   +3.924200610846184e-02
  +0.930000   +3.477337432974417e-02   +3.835106744824481e-02
  +0.940000   +3.515186628604833e-02   +3.732117277269831e-02
  +0.950000   +3.551919526260292e-02   +3.610970523600014e-02
  +0.960000   +3.587323163564731e-02   +3.464796527012809e-02
  +0.970000   +3.621092363378668e-02   +3.281303146609862e-02
  +0.980000   +3.652742276311063e-02   +3.034505386287024e-02
  +0.990000   +3.681340467387829e-02   +2.648566600722908e-02
  +1.000000   +3.703433895803519e-02   +0.000000000000000e+00
