# dp/dPsi( Psi ) for G_mastu_simple, from G_mastu_simple_shaped.npz
#
# Psi = 1 - psi_n: freegs4e's normalised flux is 0 on the AXIS and
# 1 on the boundary, and MEQ's is the other way up.
# The values are d/dpsi in the reference and d/dPsi here, so they
# carry a factor of the span 8.466945076604711e-02.
# Amplitude 7.226390031815923e+05, shape ( 1 - psi_n^2 )^2.
#
#   Psi            value                    d/dPsi
  -0.300000   +2.913039155546854e+04   +2.195333856354150e+05
  -0.290000   +2.698454510090808e+04   +2.096675993384817e+05
  -0.280000   +2.493640813488068e+04   +1.999912431870130e+05
  -0.270000   +2.298409369818540e+04   +1.905028487302689e+05
  -0.260000   +2.112572951612869e+04   +1.812009475175095e+05
  -0.250000   +1.935945799852439e+04   +1.720840710979946e+05
  -0.240000   +1.768343623969378e+04   +1.631507510209843e+05
  -0.230000   +1.609583601846549e+04   +1.543995188357384e+05
  -0.220000   +1.459484379817559e+04   +1.458289060915170e+05
  -0.210000   +1.317866072666753e+04   +1.374374443375800e+05
  -0.200000   +1.184550263629218e+04   +1.292236651231874e+05
  -0.190000   +1.059360004390777e+04   +1.211860999975991e+05
  -0.180000   +9.421198150879974e+03   +1.133232805100752e+05
  -0.170000   +8.326556843081848e+03   +1.056337382098755e+05
  -0.160000   +7.307950690893853e+03   +9.811600464626007e+04
  -0.150000   +6.363668949203831e+03   +9.076861136848881e+04
  -0.140000   +5.492015557407060e+03   +8.359008992582177e+04
  -0.130000   +4.691309139406180e+03   +7.657897186751879e+04
  -0.120000   +3.959883003611279e+03   +6.973378874284010e+04
  -0.110000   +3.296085142939769e+03   +6.305307210104519e+04
  -0.100000   +2.698278234816560e+03   +5.653535349139455e+04
  -0.090000   +2.164839641173876e+03   +5.017916446314775e+04
  -0.080000   +1.694161408451390e+03   +4.398303656556491e+04
  -0.070000   +1.284650267596163e+03   +3.794550134790596e+04
  -0.060000   +9.347276340626581e+02   +3.206509035943095e+04
  -0.050000   +6.428296078127313e+02   +2.634033514939971e+04
  -0.040000   +4.074069733156502e+02   +2.076976726707233e+04
  -0.030000   +2.269251995480719e+02   +1.535191826170866e+04
  -0.020000   +9.986443999406319e+01   +1.008531968256876e+04
  -0.010000   +2.471953264508474e+01   +4.968503078912554e+03
  +0.000000   +0.000000000000000e+00   +0.000000000000000e+00
  +0.010000   +2.423004906507272e+01   +4.821658004908937e+03
  +0.020000   +9.594857135396704e+01   +9.497939386554293e+03
  +0.030000   +2.137091428877466e+02   +1.403031259567608e+04
  +0.040000   +3.760800241948766e+02   +1.842024608301436e+04
  +0.050000   +5.816441603112221e+02   +2.266920829930916e+04
  +0.060000   +8.289991807800488e+02   +2.677866769530053e+04
  +0.070000   +1.116757399652023e+03   +3.075009272172850e+04
  +0.080000   +1.443545815485210e+03   +3.458495182933311e+04
  +0.090000   +1.808006111345074e+03   +3.828471346885435e+04
  +0.100000   +2.208794654804486e+03   +4.185084609103231e+04
  +0.110000   +2.644582497943711e+03   +4.528481814660703e+04
  +0.120000   +3.114055377350411e+03   +4.858809808631847e+04
  +0.130000   +3.615913714119664e+03   +5.176215436090675e+04
  +0.140000   +4.148872613853938e+03   +5.480845542111191e+04
  +0.150000   +4.711661866663095e+03   +5.772846971767394e+04
  +0.160000   +5.303025947164407e+03   +6.052366570133288e+04
  +0.170000   +5.921724014482540e+03   +6.319551182282878e+04
  +0.180000   +6.566529912249564e+03   +6.574547653290165e+04
  +0.190000   +7.236232168604957e+03   +6.817502828229156e+04
  +0.200000   +7.929633996195585e+03   +7.048563552173857e+04
  +0.210000   +8.645553292175719e+03   +7.267876670198266e+04
  +0.220000   +9.382822638207033e+03   +7.475589027376391e+04
  +0.230000   +1.014028930045859e+04   +7.671847468782232e+04
  +0.240000   +1.091681522960687e+04   +7.856798839489794e+04
  +0.250000   +1.171127706083574e+04   +8.030589984573080e+04
  +0.260000   +1.252256611383648e+04   +8.193367749106097e+04
  +0.270000   +1.334958839280776e+04   +8.345278978162844e+04
  +0.280000   +1.419126458645564e+04   +8.486470516817326e+04
  +0.290000   +1.504653006799361e+04   +8.617089210143547e+04
  +0.300000   +1.591433489514254e+04   +8.737281903215512e+04
  +0.310000   +1.679364381013071e+04   +8.847195441107223e+04
  +0.320000   +1.768343623969378e+04   +8.946976668892684e+04
  +0.330000   +1.858270629507484e+04   +9.036772431645900e+04
  +0.340000   +1.949046277202436e+04   +9.116729574440872e+04
  +0.350000   +2.040572915080021e+04   +9.186994942351605e+04
  +0.360000   +2.132754359616767e+04   +9.247715380452103e+04
  +0.370000   +2.225495895739943e+04   +9.299037733816369e+04
  +0.380000   +2.318704276827554e+04   +9.341108847518406e+04
  +0.390000   +2.412287724708350e+04   +9.374075566632219e+04
  +0.400000   +2.506155929661818e+04   +9.398084736231812e+04
  +0.410000   +2.600220050418183e+04   +9.413283201391186e+04
  +0.420000   +2.694392714158419e+04   +9.419817807184347e+04
  +0.430000   +2.788588016514229e+04   +9.417835398685299e+04
  +0.440000   +2.882721521568064e+04   +9.407482820968043e+04
  +0.450000   +2.976710261853111e+04   +9.388906919106586e+04
  +0.460000   +3.070472738353295e+04   +9.362254538174927e+04
  +0.470000   +3.163928920503288e+04   +9.327672523247074e+04
  +0.480000   +3.257000246188497e+04   +9.285307719397030e+04
  +0.490000   +3.349609621745069e+04   +9.235306971698796e+04
  +0.500000   +3.441681421959892e+04   +9.177817125226378e+04
  +0.510000   +3.533141490070595e+04   +9.112985025053778e+04
  +0.520000   +3.623917137765548e+04   +9.040957516255003e+04
  +0.530000   +3.713937145183855e+04   +8.961881443904052e+04
  +0.540000   +3.803131760915367e+04   +8.875903653074930e+04
  +0.550000   +3.891432702000673e+04   +8.783170988841644e+04
  +0.560000   +3.978773153931100e+04   +8.683830296278193e+04
  +0.570000   +4.065087770648716e+04   +8.578028420458583e+04
  +0.580000   +4.150312674546332e+04   +8.465912206456819e+04
  +0.590000   +4.234385456467493e+04   +8.347628499346900e+04
  +0.600000   +4.317245175706489e+04   +8.223324144202835e+04
  +0.610000   +4.398832360008349e+04   +8.093145986098623e+04
  +0.620000   +4.479089005568842e+04   +7.957240870108271e+04
  +0.630000   +4.557958577034474e+04   +7.815755641305780e+04
  +0.640000   +4.635386007502496e+04   +7.668837144765156e+04
  +0.650000   +4.711317698520896e+04   +7.516632225560401e+04
  +0.660000   +4.785701520088403e+04   +7.359287728765524e+04
  +0.670000   +4.858486810654486e+04   +7.196950499454520e+04
  +0.680000   +4.929624377119353e+04   +7.029767382701396e+04
  +0.690000   +4.999066494833953e+04   +6.857885223580156e+04
  +0.700000   +5.066766907599975e+04   +6.681450867164804e+04
  +0.710000   +5.132680827669849e+04   +6.500611158529344e+04
  +0.720000   +5.196764935746742e+04   +6.315512942747778e+04
  +0.730000   +5.258977380984565e+04   +6.126303064894110e+04
  +0.740000   +5.319277780987964e+04   +5.933128370042345e+04
  +0.750000   +5.377627221812331e+04   +5.736135703266486e+04
  +0.760000   +5.433988257963794e+04   +5.535471909640537e+04
  +0.770000   +5.488324912399222e+04   +5.331283834238500e+04
  +0.780000   +5.540602676526224e+04   +5.123718322134380e+04
  +0.790000   +5.590788510203148e+04   +4.912922218402180e+04
  +0.800000   +5.638850841739087e+04   +4.699042368115905e+04
  +0.810000   +5.684759567893866e+04   +4.482225616349556e+04
  +0.820000   +5.728486053878058e+04   +4.262618808177139e+04
  +0.830000   +5.770003133352970e+04   +4.040368788672658e+04
  +0.840000   +5.809285108430651e+04   +3.815622402910114e+04
  +0.850000   +5.846307749673892e+04   +3.588526495963512e+04
  +0.860000   +5.881048296096220e+04   +3.359227912906861e+04
  +0.870000   +5.913485455161909e+04   +3.127873498814154e+04
  +0.880000   +5.943599402785963e+04   +2.894610098759400e+04
  +0.890000   +5.971371783334136e+04   +2.659584557816603e+04
  +0.900000   +5.996785709622916e+04   +2.422943721059766e+04
  +0.910000   +6.019825762919532e+04   +2.184834433562893e+04
  +0.920000   +6.040477992941954e+04   +1.945403540399987e+04
  +0.930000   +6.058729917858890e+04   +1.704797886645052e+04
  +0.940000   +6.074570524289793e+04   +1.463164317372092e+04
  +0.950000   +6.087990267304852e+04   +1.220649677655109e+04
  +0.960000   +6.098981070424995e+04   +9.774008125681092e+03
  +0.970000   +6.107536325621895e+04   +7.335645671850946e+03
  +0.980000   +6.113650893317959e+04   +4.892877865800691e+03
  +0.990000   +6.117321102386337e+04   +2.447173158270364e+03
  +1.000000   +6.118544750150919e+04   +0.000000000000000e+00
