# dgg/dPsi( Psi ) for freegsnke MAST-U forward (example02)
#
# Psi = 1 - psi_n: freegs4e's normalised flux is 0 on the AXIS
# and 1 on the boundary, and MEQ's is the other way up.
#
# The value column is d/dPsi and carries ( psi_ax - psi_bnd )
# from the chain rule; see this generator's header for the
# measurement that settled it.
#
#        Psi                     d/dPsi                   d2/dPsi2
   -0.300000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.290000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.280000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.270000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.260000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.250000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.240000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.230000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.220000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.210000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.200000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.190000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.180000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.170000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.160000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.150000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.140000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.130000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.120000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.110000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.100000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.090000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.080000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.070000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.060000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.050000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.040000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.030000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.020000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.010000   +0.000000000000000e+00   +0.000000000000000e+00
   +0.000000   +0.000000000000000e+00   +1.446359678698892e-02
   +0.010000   +2.892719357397785e-04   +3.306822341842185e-02
   +0.020000   +6.613644683684369e-04   +3.906767525932473e-02
   +0.030000   +1.070625440926273e-03   +4.216501098662002e-02
   +0.040000   +1.504664688100837e-03   +4.431984727430373e-02
   +0.050000   +1.957022386412348e-03   +4.594805515007945e-02
   +0.060000   +2.423625791102426e-03   +4.723039608311599e-02
   +0.070000   +2.901630308074668e-03   +4.826448138353502e-02
   +0.080000   +3.388915418773127e-03   +4.910983450473805e-02
   +0.090000   +3.883826998169429e-03   +4.980576684702234e-02
   +0.100000   +4.385030755713574e-03   +5.037976260608548e-02
   +0.110000   +4.891422250291138e-03   +5.085187976081487e-02
   +0.120000   +5.402068350929871e-03   +5.123725678823546e-02
   +0.130000   +5.916167386055848e-03   +5.154763259582384e-02
   +0.140000   +6.433021002846349e-03   +5.179231499613607e-02
   +0.150000   +6.952013685978568e-03   +5.197882325079839e-02
   +0.160000   +7.472597467862316e-03   +5.211332894543358e-02
   +0.170000   +7.994280264887240e-03   +5.220096721496231e-02
   +0.180000   +8.516616812161561e-03   +5.224606186793390e-02
   +0.190000   +9.039201502245917e-03   +5.225229171064583e-02
   +0.200000   +9.561662646374479e-03   +5.222281572721427e-02
   +0.210000   +1.008365781679020e-02   +5.216036884863434e-02
   +0.220000   +1.060487002334717e-02   +5.206733629642446e-02
   +0.230000   +1.112500454271869e-02   +5.194581205248139e-02
   +0.240000   +1.164378626439679e-02   +5.179764538855369e-02
   +0.250000   +1.216095745048976e-02   +5.162447829017813e-02
   +0.260000   +1.267627583020036e-02   +5.142777584996183e-02
   +0.270000   +1.318951296748900e-02   +5.120885117028418e-02
   +0.280000   +1.370045285360604e-02   +5.096888593330295e-02
   +0.290000   +1.420889068615506e-02   +5.070894751906074e-02
   +0.300000   +1.471463180398726e-02   +5.043000334899339e-02
   +0.310000   +1.521749075313492e-02   +5.013293298087751e-02
   +0.320000   +1.571729046360481e-02   +4.981853836755890e-02
   +0.330000   +1.621386152048611e-02   +4.948755260545246e-02
   +0.340000   +1.670704151571386e-02   +4.914064743260826e-02
   +0.350000   +1.719667446913827e-02   +4.877843968491469e-02
   +0.360000   +1.768261030941215e-02   +4.840149687903617e-02
   +0.370000   +1.816470440671899e-02   +4.801034205927435e-02
   +0.380000   +1.864281715059764e-02   +4.760545802064542e-02
   +0.390000   +1.911681356713190e-02   +4.718729100058705e-02
   +0.400000   +1.958656297060938e-02   +4.675625391577498e-02
   +0.410000   +2.005193864544740e-02   +4.631272920762597e-02
   +0.420000   +2.051281755476190e-02   +4.585707134958428e-02
   +0.430000   +2.096908007243908e-02   +4.538960906069445e-02
   +0.440000   +2.142060973597579e-02   +4.491064726293081e-02
   +0.450000   +2.186729301769770e-02   +4.442046881388140e-02
   +0.460000   +2.230901911225342e-02   +4.391933604155218e-02
   +0.470000   +2.274567973852874e-02   +4.340749210396488e-02
   +0.480000   +2.317716895433272e-02   +4.288516219280369e-02
   +0.490000   +2.360338298238481e-02   +4.235255459745724e-02
   +0.500000   +2.402422004628187e-02   +4.180986164332379e-02
   +0.510000   +2.443958021525129e-02   +4.125726051610501e-02
   +0.520000   +2.484936525660397e-02   +4.069491398196745e-02
   +0.530000   +2.525347849489064e-02   +4.012297101181383e-02
   +0.540000   +2.565182467684024e-02   +3.954156731647673e-02
   +0.550000   +2.604430984122017e-02   +3.895082579832287e-02
