# dp/dPsi( Psi ) for freegsnke MAST-U forward (example02)
#
# Psi = 1 - psi_n: freegs4e's normalised flux is 0 on the AXIS
# and 1 on the boundary, and MEQ's is the other way up.
#
# The value column is d/dPsi and carries ( psi_ax - psi_bnd )
# from the chain rule; see this generator's header for the
# measurement that settled it.
#
#        Psi                     d/dPsi                   d2/dPsi2
   -0.300000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.290000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.280000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.270000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.260000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.250000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.240000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.230000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.220000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.210000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.200000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.190000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.180000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.170000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.160000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.150000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.140000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.130000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.120000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.110000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.100000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.090000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.080000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.070000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.060000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.050000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.040000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.030000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.020000   +0.000000000000000e+00   +0.000000000000000e+00
   -0.010000   +0.000000000000000e+00   +0.000000000000000e+00
   +0.000000   +0.000000000000000e+00   +5.290699315548936e+03
   +0.010000   +1.058139863109787e+02   +1.209616318699149e+04
   +0.020000   +2.419232637398297e+02   +1.429072766606265e+04
   +0.030000   +3.916285396322316e+02   +1.542371500342868e+04
   +0.040000   +5.503975638084032e+02   +1.621194154488093e+04
   +0.050000   +7.158673705298504e+02   +1.680753048591717e+04
   +0.060000   +8.865481735267467e+02   +1.727660331729062e+04
   +0.070000   +1.061399436875663e+03   +1.765486568672198e+04
   +0.080000   +1.239645487261186e+03   +1.796409092617066e+04
   +0.090000   +1.420681255399076e+03   +1.821865891649961e+04
   +0.100000   +1.604018665591179e+03   +1.842862321613602e+04
   +0.110000   +1.789253719721797e+03   +1.860132091672685e+04
   +0.120000   +1.976045083925715e+03   +1.874228958484100e+04
   +0.130000   +2.164099511418617e+03   +1.885582324434181e+04
   +0.140000   +2.353161548812552e+03   +1.894532663875495e+04
   +0.150000   +2.543006044193716e+03   +1.901355027011158e+04
   +0.160000   +2.733432554214783e+03   +1.906275166842379e+04
   +0.170000   +2.924261077562192e+03   +1.909480923608417e+04
   +0.180000   +3.115328738936466e+03   +1.911130459703243e+04
   +0.190000   +3.306487169502840e+03   +1.911358343714790e+04
   +0.200000   +3.497600407679424e+03   +1.910280129438889e+04
   +0.210000   +3.688543195390617e+03   +1.907995859055614e+04
   +0.220000   +3.879199579490547e+03   +1.904592782576440e+04
   +0.230000   +4.069461751905906e+03   +1.900147496637402e+04
   +0.240000   +4.259229078818027e+03   +1.894727646520067e+04
   +0.250000   +4.448407281209918e+03   +1.888393295097366e+04
   +0.260000   +4.636907737837500e+03   +1.881198034602025e+04
   +0.270000   +4.824646888130324e+03   +1.873189897552950e+04
   +0.280000   +5.011545717348091e+03   +1.864412109194015e+04
   +0.290000   +5.197529309969125e+03   +1.854903713664395e+04
   +0.300000   +5.382526460080970e+03   +1.844700098675763e+04
   +0.310000   +5.566469329704278e+03   +1.833833437938418e+04
   +0.320000   +5.749293147668654e+03   +1.822333066419535e+04
   +0.330000   +5.930935942988185e+03   +1.810225800358236e+04
   +0.340000   +6.111338307740301e+03   +1.797536211540498e+04
   +0.350000   +6.290443185296283e+03   +1.784286863463162e+04
   +0.360000   +6.468195680432934e+03   +1.770498515554727e+04
   +0.370000   +6.644542888407229e+03   +1.756190300470579e+04
   +0.380000   +6.819433740527050e+03   +1.741379878570687e+04
   +0.390000   +6.992818864121366e+03   +1.726083572960191e+04
   +0.400000   +7.164650455119088e+03   +1.710316487890168e+04
   +0.410000   +7.334882161699397e+03   +1.694092612844473e+04
   +0.420000   +7.503468977687983e+03   +1.677424914254906e+04
   +0.430000   +7.670367144550379e+03   +1.660325416472321e+04
   +0.440000   +7.835534060982448e+03   +1.642805273364601e+04
   +0.450000   +7.998928199223300e+03   +1.624874831697310e+04
   +0.460000   +8.160509027321910e+03   +1.606543687275855e+04
   +0.470000   +8.320236936678470e+03   +1.587820734678768e+04
   +0.480000   +8.478073174257665e+03   +1.568714211286494e+04
   +0.490000   +8.633979778935769e+03   +1.549231736203318e+04
   +0.500000   +8.787919521498328e+03   +1.529380344580102e+04
   +0.510000   +8.939855847851790e+03   +1.509166517766460e+04
   +0.520000   +9.089752825051621e+03   +1.488596209653741e+04
   +0.530000   +9.237575089782538e+03   +1.467674869510694e+04
   +0.540000   +9.383287798953759e+03   +1.446407461560395e+04
   +0.550000   +9.526856582094617e+03   +1.424798481499654e+04
